,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,01-03-2020 22:43:11,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,1,нет,Тбилиси,0.25 гр,0.0259,15408,5681,515,230.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,01-03-2020 22:43:11,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,6,нет,Тбилиси,0.5 гр,0.0033,1943,716,65,29.0,True,True,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
2,2,01-03-2020 22:43:11,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,4,нет,Тбилиси,0.8 гр,0.0169,10049,3705,336,150.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,01-03-2020 22:43:11,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,1 гр,0.0049,3216,1186,107,48.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,01-03-2020 22:43:11,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,8,нет,Тбилиси,1 гр,0.0056,3350,1235,112,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,01-03-2020 22:43:11,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0107,6635,2440,222,,,,90.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
6,6,01-03-2020 22:43:11,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,3,нет,Тбилиси,1 гр,0.0677,40195,14820,1343,600.0,,,,,,,,,,,Metadon VHQ 1 24/7
7,7,01-03-2020 22:43:11,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.02,12393,4570,414,185.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
8,8,01-03-2020 22:43:11,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0202,11991,4421,401,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
9,9,01-03-2020 22:43:11,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0462,30146,11115,1008,450.0,,,,,,,,,,,Metadon 1gr
10,10,01-03-2020 22:43:11,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0203,12533,4609,419,,,,170.0,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
11,11,01-03-2020 22:43:11,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0357,21437,7904,717,320.0,True,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
12,12,01-03-2020 22:43:11,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,1,нет,Тбилиси,2 гр,0.0394,23380,8620,781,349.0,,,,,True,,,,,,Kokain KOLUMBIA 2g
13,13,01-03-2020 22:43:11,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,3 гр,0.0119,7372,2711,247,,,,100.0,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
14,14,01-03-2020 22:43:11,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0298,18431,6778,617,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,15,01-03-2020 22:43:11,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0477,29489,10844,987,,,,400.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,16,01-03-2020 22:43:11,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0171,10049,3705,336,150.0,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
17,17,01-03-2020 22:43:11,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0412,24452,9016,817,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
18,18,01-03-2020 22:43:11,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0342,20097,7410,672,300.0,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
19,19,01-03-2020 22:43:11,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.026000000000000002,16078,5928,537,240.0,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
20,20,01-03-2020 22:43:11,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0433,26796,9880,896,400.0,,,,,,,,,,,gashish evro 10g
21,21,01-03-2020 22:43:11,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0487,30146,11115,1008,450.0,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
