,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,01-04-2020 14:24:30,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,5,нет,Тбилиси,0.2 гр,0.0046,2721,982,91,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,01-04-2020 14:24:30,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",,3,нет,Тбилиси,0.25 гр,0.0246,13215,4769,440,170,True,,,,,,,,,"Metadon VHQ 0,25"
2,01-04-2020 14:24:30,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0159,8473,3057,282,109,,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,01-04-2020 14:24:30,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,2,нет,Тбилиси,0.7 гр,0.0118,6996,2525,233,90,,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
4,01-04-2020 14:24:30,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,24,нет,Тбилиси,1 гр,0.0079,4664,1683,155,60,,True,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,01-04-2020 14:24:30,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0072,3887,1403,129,50,,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,01-04-2020 14:24:30,Tbilisi,8B31,GEOWEEDSHOP,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,4,нет,Тбилиси,1 гр,0.0059,3187,1150,106,41,True,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
7,01-04-2020 14:24:30,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,9,нет,Тбилиси,1 гр,0.0056,3032,1094,101,39,,,True,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,01-04-2020 14:24:30,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,11,нет,Тбилиси,1 гр,0.0055,2954,1066,98,38,,True,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,01-04-2020 14:24:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0262,14691,5301,489,189,,True,,,,,,,,Cocaine Pure VHQ 1g
10,01-04-2020 14:24:30,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,,3,нет,Тбилиси,1 гр,0.0054,3187,1150,106,41,,True,,,,,,,,Hybrid Ana-sha 1G.
11,01-04-2020 14:24:30,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0795,42753,15428,1422,550,,True,,,,,,,,Metadon VHQ 1 24/7
12,01-04-2020 14:24:30,Tbilisi,42AF,Leningrad6,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,2,нет,Тбилиси,1 гр,0.0062,3343,1206,111,43,,True,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
13,01-04-2020 14:24:30,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0217,11660,4208,388,150,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
14,01-04-2020 14:24:30,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,1,нет,Тбилиси,1 гр,0.0271,14691,5301,489,189,,True,,,,,,,,Kokain HQ 1g.
15,01-04-2020 14:24:30,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,True,2,нет,Тбилиси,1 гр,0.0259,13914,5021,463,179,,,,,,,,,,Kokain KOLUMBIA 1g
16,01-04-2020 14:24:30,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1183,69959,25245,2327,900,,True,,,,,,,,Metadon 1gr
17,01-04-2020 14:24:30,Tbilisi,LGRP8,Walker12,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %,,5,нет,Тбилиси,1 гр,0.0062,3653,1318,122,47,,True,,,,,,,,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %
18,01-04-2020 14:24:30,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,3,нет,Тбилиси,2 гр,0.0123,6607,2384,220,85,,True,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
19,01-04-2020 14:24:30,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,3,нет,Тбилиси,2 гр,0.0114,6141,2216,204,79,True,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
20,01-04-2020 14:24:30,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,,1,нет,Тбилиси,2 гр,0.0068,3653,1318,122,47,True,,,,,,,,,2gr Indica dominant Buds
21,01-04-2020 14:24:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,4,нет,Тбилиси,2 гр,0.0473,27984,10098,931,360,,True,,,,,,,,Cocaine Pure VHQ 2 g
22,01-04-2020 14:24:30,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,23,нет,Тбилиси,2 гр,0.0046,2721,982,91,35,True,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
23,01-04-2020 14:24:30,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0046,2721,982,91,35,True,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,01-04-2020 14:24:30,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,4,нет,Тбилиси,3 гр,0.0159,8473,3057,282,109,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
25,01-04-2020 14:24:30,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0421,24874,8976,827,320,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
26,01-04-2020 14:24:30,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0239,12826,4628,427,165,,True,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
27,01-04-2020 14:24:30,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0352,19720,7084,654,,,True,,230,,,,,,5 gr mdma (skidka v bitkoin 5%)
28,01-04-2020 14:24:30,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,5,нет,Тбилиси,5 гр,0.0244,13137,4740,437,169,,True,,,,,,,,5gr Stardawg Auto WEED BUDS
29,01-04-2020 14:24:30,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.0256,13603,4909,452,175,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,01-04-2020 14:24:30,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.105,62108,22412,2066,799,,True,,,,,,,,Cocaine Pure VHQ 5g.
31,01-04-2020 14:24:30,Tbilisi,BCF,Doitgod,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.0822,48583,17531,1616,625,,True,,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
32,01-04-2020 14:24:30,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0105,6219,2244,207,80,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
33,01-04-2020 14:24:30,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0346,18578,6704,618,239,True,,,,,,,,,10 gr marijuana buds. -indica-
34,01-04-2020 14:24:57,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0577,31015,11192,1032,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,01-04-2020 14:24:57,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0528,28372,10238,944,365,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,01-04-2020 14:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0386,20755,7489,690,267,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,01-04-2020 14:24:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0112,6607,2384,220,85,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,01-04-2020 14:24:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0555,31093,11220,1034,400,,True,,,,,,,,gashish evro 10g
