,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,01-06-2020 19:22:42,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0038,2788,1080,96,40,,,,,,,,,,suboxsone 0.4 g
1,01-06-2020 19:22:42,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0853,62740,24300,2169,900,,,,,,,,,,Metadon 1gr
2,01-06-2020 19:22:42,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0125,8296,3213,287,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
3,01-06-2020 19:22:42,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7320,2835,253,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
4,01-06-2020 19:22:42,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0185,13594,5265,470,195,,,,,,,,,,4g.marihuana shishki white widow
5,01-06-2020 19:22:42,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0112,7459,2889,258,107,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
6,01-06-2020 19:22:42,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,2,нет,Тбилиси,4 гр,0.0055,3834,1485,133,55,,,,,,,,,,Suboxene 4mg
7,01-06-2020 19:22:42,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0309,20913,8100,723,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
8,01-06-2020 19:22:42,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,5 гр,0.0145,9690,3753,335,139,,,,,,,,,,5 gr georgian weed. Package on magnet
9,01-06-2020 19:22:42,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0227,16731,6480,578,240,,,,,,,,,,5g. marihuana shishki Critical
10,01-06-2020 19:22:42,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0184,12200,4725,422,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,01-06-2020 19:22:42,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0277,18752,7263,648,269,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
12,01-06-2020 19:22:42,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0104,6971,2700,241,100,,True,,,,,,,,10 gr marihuana list'ja top gibrid
13,01-06-2020 19:22:42,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0034,2510,972,87,36,,,,,,,,,,GABAGAMA 20 SHTUK
14,01-06-2020 19:22:42,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5577,2160,193,80,,,,,,,,,,GABAGAMA 50 SHTUK
15,01-06-2020 19:22:42,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1895,139423,54000,4820,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,01-06-2020 19:22:42,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0175,12897,4995,446,185,,,,,,,,,,GABAGAMA 150 shtuk
17,01-06-2020 19:22:42,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,8,Тбилиси,0.25 гр,0.0042,2788,1080,96,40,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
18,01-06-2020 19:22:42,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0075,5228,2025,181,75,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
19,01-06-2020 19:22:42,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0156,10457,4050,362,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
20,01-06-2020 19:22:42,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0375,25096,9720,868,360,,,,,,,,,,Gerojn (sirets) 1 gr
21,01-06-2020 19:22:42,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0221,14639,5670,506,210,,,,,,,,,,✨✨2gram. MDMA✨✨
22,01-06-2020 19:22:42,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0388,25724,9963,889,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,01-06-2020 19:22:42,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0609,40363,15633,1395,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,01-06-2020 19:22:42,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0417,27885,10800,964,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,01-06-2020 19:22:42,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0146,9760,3780,337,140,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,01-06-2020 19:22:42,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0729,48798,18900,1687,700,,,,,,,,,,"""Kief"" Weed trichomes 5G"
27,01-06-2020 19:22:42,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0573,38341,14850,1326,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,01-06-2020 19:22:42,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0245,16382,6345,566,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,01-06-2020 19:22:42,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.025,16731,6480,578,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,01-06-2020 19:22:42,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.024,16034,6210,554,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,01-06-2020 19:22:42,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.025,16731,6480,578,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
32,01-06-2020 19:22:42,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.025,16731,6480,578,240,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,01-06-2020 19:22:42,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.024,16034,6210,554,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,01-06-2020 19:23:23,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,16034,6210,554,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
35,01-06-2020 19:23:23,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0208,15267,5913,528,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
36,01-06-2020 19:23:23,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0264,17428,6750,603,250,,,,,,,,,,MARIXYANA - INDICA - 5 G.
37,01-06-2020 19:23:23,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0246,16382,6345,566,235,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,01-06-2020 19:23:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2592,190000,87429,6478,,,,,,,,,,,reagent 25i nbome. 5gr
39,01-06-2020 19:23:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2853,209134,81000,7230,3000,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,01-06-2020 19:23:23,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1013,66853,25893,2311,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,01-06-2020 19:23:23,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0201,13245,5130,458,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,01-06-2020 19:23:23,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0517,34089,13203,1178,489,,,,,,,,,,💘✨5g. MDMA ✨💘
