,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,01-07-2020 07:22:13,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",True,1,нет,Тбилиси,0.4 гр,0.0126,8453,3210,289,120,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,01-07-2020 07:22:13,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0035,2325,883,80,33,,,,,,,,,,0.5 gr HYBRID buds
2,01-07-2020 07:22:13,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,7,нет,Тбилиси,0.5 гр,0.0035,2325,883,80,33,True,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,01-07-2020 07:22:13,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0147,9862,3745,338,140,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,01-07-2020 07:22:13,Tbilisi,9Y6T,WeedShop,Jamaican 0.5Г,True,1,нет,Тбилиси,0.5 гр,0.0032,2184,829,75,31,,,,,,,,,,Jamaican 0.5G
5,01-07-2020 07:22:13,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,2,нет,Тбилиси,0.5 гр,0.003,2043,776,70,29,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,01-07-2020 07:22:13,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,10,нет,Тбилиси,1 гр,0.0063,4226,1605,145,60,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,01-07-2020 07:22:13,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0062,4156,1578,142,59,True,,,,,,,,,1 G Hybrid Marijuana Buds
8,01-07-2020 07:22:13,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0063,4226,1605,145,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,01-07-2020 07:22:13,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,6,нет,Тбилиси,1 гр,0.0062,4156,1578,142,59,,True,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,01-07-2020 07:22:13,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4156,1578,142,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,01-07-2020 07:22:13,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0056,3733,1418,128,53,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
