,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Didube,Varketili,Vake,Центр,Батуми,desc_en
0,0,01-08-2020 14:46:20,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0024,2056,780,68,28.0,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,1,01-08-2020 14:46:20,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0024,2056,780,68,28.0,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,2,01-08-2020 14:46:20,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,2,нет,Тбилиси,0.5 гр,0.0028,2423,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
3,3,01-08-2020 14:46:20,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,10,нет,Тбилиси,0.5 гр,0.0025,2129,808,71,29.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
4,4,01-08-2020 14:46:20,Tbilisi,16a8841259,0.5г Northen Light,True,3,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31.0,,,,,,,,,,,,0.5g Northen Light
5,5,01-08-2020 14:46:20,Tbilisi,16a8841259,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31.0,,,,,,,,,,,,0.5g Skunk
6,6,01-08-2020 14:46:20,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0029,2496,947,83,34.0,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
7,7,01-08-2020 14:46:20,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0029,2496,947,83,34.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
8,8,01-08-2020 14:46:20,Tbilisi,16a8841259,Tangerine 0.5г,True,9,нет,Тбилиси,0.5 гр,0.0027,2350,892,78,32.0,,,,,,,,,,,,Tangerine 0.5g
9,9,01-08-2020 14:46:20,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0025,2203,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10,01-08-2020 14:46:20,Tbilisi,fccfd69694,Бошки Cookies Kush 0.5 g,True,3,нет,Тбилиси,0.5 гр,0.0021,1836,697,61,25.0,,,,,,,,,,,,Boshki Cookies Kush 0.5 g
11,11,01-08-2020 14:46:20,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0051,4406,1672,146,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
12,12,01-08-2020 14:46:20,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0051,4406,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
13,13,01-08-2020 14:46:20,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.005,4332,1644,144,59.0,,,,,,,,,,,,1 gr super lemon haze probnik
14,14,01-08-2020 14:46:20,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,1 гр,0.005,4332,1644,144,59.0,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
15,15,01-08-2020 14:46:20,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.005,4332,1644,144,59.0,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
16,16,01-08-2020 14:46:20,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0047,4038,1532,134,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
17,17,01-08-2020 14:46:20,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,1 гр,0.0045,3892,1477,129,53.0,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
18,18,01-08-2020 14:46:20,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.0051,4406,1672,146,60.0,True,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
19,19,01-08-2020 14:46:20,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,15,нет,Тбилиси,1 гр,0.0042,3598,1365,119,49.0,,,,,,,,,,,,1gr HYBRID o.g
20,20,01-08-2020 14:46:20,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0042,3598,1365,119,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
21,21,01-08-2020 14:46:20,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,16,нет,Тбилиси,1 гр,0.0039,3378,1282,112,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
22,22,01-08-2020 14:46:20,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,21,нет,Тбилиси,1 гр,0.0034,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
23,23,01-08-2020 14:46:20,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.0032,3010,1142,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
24,24,01-08-2020 14:46:20,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0042,4038,1532,134,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
25,25,01-08-2020 14:46:20,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0049,4259,1616,141,58.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
26,26,01-08-2020 14:46:20,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0042,3671,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
27,27,01-08-2020 14:46:20,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0037,3304,1254,110,45.0,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
28,28,01-08-2020 14:46:20,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,01-08-2020 14:46:20,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,01-08-2020 14:46:20,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0085,7343,2786,244,100.0,True,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
31,31,01-08-2020 14:46:20,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
32,32,01-08-2020 14:46:20,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0075,6462,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
33,33,01-08-2020 14:46:20,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
34,34,01-08-2020 14:46:20,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0085,8077,3065,268,110.0,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
35,35,01-08-2020 14:46:20,Tbilisi,c47f675e02,3 gram + skunk auto шишки,True,2,нет,Тбилиси,3 гр,0.011000000000000001,9913,3761,329,135.0,,,,,,,,,,,,3 gram + skunk auto shishki
36,36,01-08-2020 14:47:30,Tbilisi,c47f675e02,3 gram + skunk auto шишки,True,2,нет,Тбилиси,3 гр,0.0109,9913,3761,329,135.0,,,,,,,,,,,,3 gram + skunk auto shishki
37,37,01-08-2020 14:47:30,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0069,6608,2507,219,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
38,38,01-08-2020 14:47:30,Tbilisi,4a91350669,10 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,10 гр,0.0422,36713,13930,1219,500.0,,,,,,,,,,,,10 ecstasy red maseratti VHQ ekstazi import s SShA
39,39,01-08-2020 14:47:30,Tbilisi,c47f675e02,Super Skunk auto 10gram,True,1,нет,Тбилиси,10 гр,0.0303,27461,10420,912,374.0,,,,,,,,,,,,Super Skunk auto 10gram
40,40,01-08-2020 14:47:30,Tbilisi,54915c4374,Геройн (сирец) 0.25 гр,True,нет,40,Тбилиси,0.25 гр,0.0135,11784,4456,391,,,,,135.0,,,,,,,,Gerojn (sirets) 0.25 gr
41,41,01-08-2020 14:47:30,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0844,73426,27860,2438,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
42,42,01-08-2020 14:47:30,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,3,Тбилиси,1 гр,0.0314,27060,10233,899,,,,,310.0,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
43,43,01-08-2020 14:47:30,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,16,Тбилиси,3 гр,0.0101,8811,3343,293,120.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
44,44,01-08-2020 14:47:30,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18357,6965,609,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
45,45,01-08-2020 14:47:30,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,46,01-08-2020 14:47:30,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20192,7662,670,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,47,01-08-2020 14:47:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0202,17622,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,01-08-2020 14:47:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20559,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,01-08-2020 14:47:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,01-08-2020 14:47:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16080,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,01-08-2020 14:47:30,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17622,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
52,52,01-08-2020 14:47:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0184,17622,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
53,53,01-08-2020 14:47:30,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0198,17255,6547,573,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
54,54,01-08-2020 14:47:30,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0228,19825,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,01-08-2020 14:47:30,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1984,190000,87429,6300,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,01-08-2020 14:47:30,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2301,220278,83580,7313,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
