,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,02-03-2020 21:07:23,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0119,7230,2718,244,109,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,02-03-2020 21:07:23,Tbilisi,ITJ,seazon,Mega Hash 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0048,3250,1222,110,49,,,,,,,,,Mega Hash 0.5 gr
2,02-03-2020 21:07:23,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0108,6566,2469,222,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,02-03-2020 21:07:23,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.0162,9949,3741,336,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
4,02-03-2020 21:07:23,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,18,нет,Тбилиси,1 гр,0.0049,3316,1247,112,50,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,02-03-2020 21:07:23,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0054,3316,1247,112,50,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,02-03-2020 21:07:23,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,20,нет,Тбилиси,1 гр,0.0037,2321,873,78,35,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
7,02-03-2020 21:07:23,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0216,13133,4938,443,198,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,02-03-2020 21:07:23,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,6,нет,Тбилиси,1 гр,0.0206,12536,4714,423,189,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
9,02-03-2020 21:07:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0592,40000,18406,1336,,,,,,,,,,reagent 25i nbome. 1gr.
10,02-03-2020 21:07:23,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0196,11939,4489,403,180,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
11,02-03-2020 21:07:23,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0195,12481,4711,419,,,170,,,,,,,2 gr mdma (skidka v bitkoin 5%)
12,02-03-2020 21:07:23,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0393,23878,8978,806,360,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
13,02-03-2020 21:07:23,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0342,21225,7981,717,320,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
14,02-03-2020 21:07:23,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0287,18354,6928,617,,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,02-03-2020 21:07:23,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0169,10281,3866,347,155,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
16,02-03-2020 21:07:23,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0459,29367,11084,987,,,400,,,,,,,5 gr mdma (skidka v bitkoin 5%)
17,02-03-2020 21:07:23,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0927,56378,21199,1903,850,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
18,02-03-2020 21:07:23,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0163,9949,3741,336,150,,,,,,,,,"LSD - 250 ug, 5 pieces"
19,02-03-2020 21:07:23,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0394,24210,9103,817,365,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
20,02-03-2020 21:07:23,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0327,19898,7482,672,300,,,,,,,,,"LSD - 250 ug, 10 pieces"
21,02-03-2020 21:07:23,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0249,15919,5986,537,240,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
22,02-03-2020 21:07:23,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0097,6566,2469,222,99,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
23,02-03-2020 21:07:23,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0415,26531,9976,896,400,,,,,,,,,gashish evro 10g
24,02-03-2020 21:07:23,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0466,29847,11223,1008,450,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
25,02-03-2020 21:07:23,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0805,51536,19378,1740,777,,,,,,,,,Gashish Evro 20gr
26,02-03-2020 21:07:23,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0294,17908,6734,605,270,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
27,02-03-2020 21:07:23,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0327,19898,7482,672,300,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
28,02-03-2020 21:07:23,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0654,39796,14964,1343,600,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
29,02-03-2020 21:07:23,Tbilisi,OSN8,KOLOVSKI,Subotex B8 Francce,True,нет,5,Тбилиси,1.4 гр,0.0275,18572,6983,627,280,,,,,,,,,Subotex B8 Francce
30,02-03-2020 21:07:23,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,4,Тбилиси,2 гр,0.018,11077,4165,374,167,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
31,02-03-2020 21:07:23,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0177,12114,4572,407,,,165,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
32,02-03-2020 21:07:23,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0644,39133,14715,1321,590,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,02-03-2020 21:07:23,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,3,Тбилиси,3 гр,0.0186,12536,4714,423,189,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
34,02-03-2020 21:07:23,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0432,26531,9976,896,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,02-03-2020 21:08:13,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0594,36480,13717,1232,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,02-03-2020 21:08:13,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0259,15919,5986,537,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
37,02-03-2020 21:08:13,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.027,16582,6235,560,250,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,02-03-2020 21:08:13,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.027,16582,6235,560,250,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
