,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,Nadzaladevi,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-05-2020 14:10:27,Tbilisi,OX85,amnesia420,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,4,нет,Тбилиси,0.5 гр,0.003,2036,762,68,28,,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,02-05-2020 14:10:27,Tbilisi,U26MW,Skyhigh,Hashish Malana Charas 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0056,3782,1414,126,52,True,,,,,,,,,,,,Hashish Malana Charas 0.5 g
2,02-05-2020 14:10:27,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,2,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,02-05-2020 14:10:27,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,12,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,02-05-2020 14:10:27,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0256,17454,6528,579,240,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
5,02-05-2020 14:10:27,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0246,16654,6229,553,229,,True,,,,,,,,,,,Kokain KOLUMBIA 1g
6,02-05-2020 14:10:27,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0881,65454,24480,2173,900,,,,,,,,,,,,,Metadon 1gr
7,02-05-2020 14:10:27,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0108,7273,2720,241,100,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
8,02-05-2020 14:10:27,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,2 гр,0.0091,6182,2312,205,85,,,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
9,02-05-2020 14:10:27,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,2,нет,Тбилиси,3 гр,0.014,9454,3536,314,130,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
10,02-05-2020 14:10:27,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0129,8654,3237,287,119,,,,True,,,,,,,,,3g superskunk top class buds.
11,02-05-2020 14:10:27,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,6,нет,Тбилиси,3 гр,0.0108,7273,2720,241,100,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
12,02-05-2020 14:10:27,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0331,23272,8704,773,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
13,02-05-2020 14:10:27,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0392,27636,10336,917,380,,,,,,,,,,,,,5g MDMA (IMPORTED)
14,02-05-2020 14:10:27,Tbilisi,LGRP8,Walker12,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0409,27636,10336,917,380,,,,,True,,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
15,02-05-2020 14:10:27,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,9,нет,Тбилиси,10 гр,0.0225,15200,5685,505,209,,,True,,,True,,,,,,,10 gr marijuana buds. -indica-
16,02-05-2020 14:10:27,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,3,нет,Тбилиси,10 гр,0.0323,21818,8160,724,300,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
17,02-05-2020 14:10:27,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0413,29091,10880,966,400,,,,,,,,,,,,,gashish evro 10g
18,02-05-2020 14:10:27,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0436,29454,11016,978,405,,,True,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
19,02-05-2020 14:10:27,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0803,56508,21134,1876,777,,,,,,,,,,,,,Gashish Evro 20gr
20,02-05-2020 14:10:27,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1957,145453,54400,4829,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,02-05-2020 14:10:27,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,15,Тбилиси,0.2 гр,0.0042,2836,1061,94,39,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
22,02-05-2020 14:10:27,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,11636,4352,386,160,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
23,02-05-2020 14:10:27,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0145,9818,3672,326,135,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
