,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,02-06-2020 08:47:21,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0131,9062,3510,312,130,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
1,02-06-2020 08:47:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0235,16382,6345,564,235,,,,,,,,,,,Cocaine Pure VHQ 1g
2,02-06-2020 08:47:21,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,3,нет,Тбилиси,1 гр,0.005,3486,1350,120,50,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
3,02-06-2020 08:47:21,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0818,62740,24300,2161,900,,,,,,,,,,,Metadon 1gr
4,02-06-2020 08:47:21,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0241,16661,6453,574,239,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,02-06-2020 08:47:21,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,9,нет,Тбилиси,2 гр,0.0088,6135,2376,211,88,,,,,,,,,,,2gr HYBRID buds
6,02-06-2020 08:47:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0483,34019,13176,1172,488,,,,,,,,,,,VHQ BEST Cocaine 2g.
7,02-06-2020 08:47:21,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.012,8296,3213,286,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,02-06-2020 08:47:21,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,3 гр,0.0087,6065,2349,209,87,,,,,,,,,,,3 gr georgian weed. Package on magnet
9,02-06-2020 08:47:21,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0177,13594,5265,468,195,,,,,,,,,,,4g.marihuana shishki white widow
10,02-06-2020 08:47:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0107,7459,2889,257,107,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,02-06-2020 08:47:21,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0053,3834,1485,132,55,,,,,,,,,,,Suboxene 4mg
12,02-06-2020 08:47:21,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0297,20913,8100,720,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,02-06-2020 08:47:21,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,5 гр,0.0139,9690,3753,334,139,,,,,,,,,,,5 gr georgian weed. Package on magnet
14,02-06-2020 08:47:21,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0218,16731,6480,576,240,,,,,,,,,,,5g. marihuana shishki Critical
15,02-06-2020 08:47:21,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0177,12200,4725,420,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,02-06-2020 08:47:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1134,81562,31590,2809,1170,,,,,,,,,,,VHQ BEST Cocaine 5g.
17,02-06-2020 08:47:21,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0266,18752,7263,646,269,,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
18,02-06-2020 08:47:21,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,13,нет,Тбилиси,10 гр,0.01,6971,2700,240,100,,,True,,,,,,,,10 gr marihuana list'ja top gibrid
19,02-06-2020 08:47:21,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0033,2510,972,86,36,,,,,,,,,,,GABAGAMA 20 SHTUK
20,02-06-2020 08:47:21,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0073,5577,2160,192,80,,,,,,,,,,,GABAGAMA 50 SHTUK
21,02-06-2020 08:47:21,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1818,139423,54000,4802,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,02-06-2020 08:47:21,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0168,12897,4995,444,185,,,,,,,,,,,GABAGAMA 150 shtuk
23,02-06-2020 08:47:21,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,10,Тбилиси,0.25 гр,0.004,2788,1080,96,40,,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
24,02-06-2020 08:47:21,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.015,10457,4050,360,150,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
25,02-06-2020 08:47:21,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.036,25096,9720,864,360,,,,,,,,,,,Gerojn (sirets) 1 gr
26,02-06-2020 08:47:21,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0212,14639,5670,504,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
27,02-06-2020 08:47:21,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0373,25724,9963,886,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,02-06-2020 08:47:21,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0585,40363,15633,1390,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,02-06-2020 08:47:21,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.04,27885,10800,960,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,02-06-2020 08:47:21,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.014,9760,3780,336,140,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
31,02-06-2020 08:47:21,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.07,48798,18900,1681,700,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
32,02-06-2020 08:47:21,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.055,38341,14850,1320,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
