,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-06-2020 13:49:53,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,True,5,нет,Тбилиси,1 гр,0.0039,2719,1049,94,39,,,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
1,02-06-2020 13:49:53,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.005,3486,1345,120,50,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
2,02-06-2020 13:49:53,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0817,62740,24210,2161,900,,True,,,,,,,,Metadon 1gr
3,02-06-2020 13:49:53,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0241,16661,6429,574,239,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,02-06-2020 13:49:53,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,9,нет,Тбилиси,2 гр,0.0088,6135,2367,211,88,,True,,,,,,,,2gr HYBRID buds
5,02-06-2020 13:49:53,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,3 гр,0.012,8296,3201,286,119,,True,,,,,,,,3 ECSTASY << PACO RABANNE >>
6,02-06-2020 13:49:53,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.0087,6065,2340,209,87,,True,,,,,,,,3 gr georgian weed. Package on magnet
7,02-06-2020 13:49:53,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0106,7320,2825,252,105,,True,,,,,,,,3x Extasy Duracell 223mg MDMA
8,02-06-2020 13:49:53,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,,2,нет,Тбилиси,4 гр,0.0177,13594,5246,468,195,,True,,,,,,,,4g.marihuana shishki white widow
9,02-06-2020 13:49:53,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0297,20913,8070,720,300,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
10,02-06-2020 13:49:53,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,7,нет,Тбилиси,5 гр,0.0139,9690,3739,334,139,,True,,,,,,,,5 gr georgian weed. Package on magnet
11,02-06-2020 13:49:53,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0218,16731,6456,576,240,,True,,,,,,,,5g. marihuana shishki Critical
12,02-06-2020 13:49:53,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0176,12200,4708,420,175,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,02-06-2020 13:49:53,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,3,нет,Тбилиси,10 гр,0.0269,18752,7236,646,269,,True,,,,,,,,10 gr georgian weed. Package on magnet
14,02-06-2020 13:49:53,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,12,нет,Тбилиси,10 гр,0.01,6971,2690,240,100,,True,True,,,,,,,10 gr marihuana list'ja top gibrid
15,02-06-2020 13:49:53,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,2,нет,Тбилиси,20 гр,0.0033,2510,968,86,36,,True,,,,,,,,GABAGAMA 20 SHTUK
16,02-06-2020 13:49:53,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0073,5577,2152,192,80,,True,,,,,,,,GABAGAMA 50 SHTUK
17,02-06-2020 13:49:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1815,139423,53800,4802,2000,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,02-06-2020 13:49:53,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,нет,10,Тбилиси,0.25 гр,0.004,2788,1076,96,40,,True,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
19,02-06-2020 13:49:53,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,,нет,5,Тбилиси,0.3 гр,0.0073,5228,2018,180,75,,True,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
