,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,02-06-2020 17:56:35,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0806,62085,24210,2161,900.0,,,,,,,,,,Metadon 1gr
1,1,02-06-2020 17:56:35,Tbilisi,be97026d1d,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0699,49906,19533,1738,,True,650.0,,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,2,02-06-2020 17:56:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0463,32422,12643,1128,470.0,,,,,,,,,,Cocaine Pure VHQ 2 g
3,3,02-06-2020 17:56:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0476,33664,13127,1172,488.0,,,,,,,,,,VHQ BEST Cocaine 2g.
4,4,02-06-2020 17:56:35,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0118,8209,3201,286,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,5,02-06-2020 17:56:35,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,16,нет,Тбилиси,3 гр,0.0086,6002,2340,209,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
6,6,02-06-2020 17:56:35,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0104,7243,2825,252,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
7,7,02-06-2020 17:56:35,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0175,13452,5246,468,195.0,,,,,,,,,,4g.marihuana shishki white widow
8,8,02-06-2020 17:56:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0105,7381,2878,257,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
9,9,02-06-2020 17:56:35,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0293,20695,8070,720,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
