,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-06-2020 18:32:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0808,62085,24210,2161,900,,,,,,,,,,Metadon 1gr
1,02-06-2020 18:32:29,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0239,16487,6429,574,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
2,02-06-2020 18:32:29,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.07,49906,19533,1738,,True,650,,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
3,02-06-2020 18:32:29,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0087,6071,2367,211,88,,,,,,,,,,2gr HYBRID buds
4,02-06-2020 18:32:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0464,32422,12643,1128,470,,,,,,,,,,Cocaine Pure VHQ 2 g
5,02-06-2020 18:32:29,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0477,33664,13127,1172,488,,,,,,,,,,VHQ BEST Cocaine 2g.
6,02-06-2020 18:32:29,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0119,8209,3201,286,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
7,02-06-2020 18:32:29,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,11,нет,Тбилиси,3 гр,0.0086,6002,2340,209,87,,,,,,,,,,3 gr georgian weed. Package on magnet
8,02-06-2020 18:32:29,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0105,7243,2825,252,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,02-06-2020 18:32:29,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0175,13452,5246,468,195,,,,,,,,,,4g.marihuana shishki white widow
10,02-06-2020 18:32:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,5,нет,Тбилиси,4 гр,0.0106,7381,2878,257,107,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,02-06-2020 18:32:29,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0293,20695,8070,720,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,02-06-2020 18:32:29,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,5 гр,0.0137,9589,3739,334,139,,,,,,,,,,5 gr georgian weed. Package on magnet
13,02-06-2020 18:32:29,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0216,16556,6456,576,240,,,,,,,,,,5g. marihuana shishki Critical
