,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,02-07-2020 06:47:48,Tbilisi,03F3,geoshop,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,7,нет,Тбилиси,0.5 гр,0.0034,2325,890,80,33,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
1,02-07-2020 06:47:48,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,3,нет,Тбилиси,0.5 гр,0.0146,9862,3774,339,140,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,02-07-2020 06:47:48,Tbilisi,9Y6T,WeedShop,Jamaican 0.5Г,True,1,нет,Тбилиси,0.5 гр,0.0032,2184,836,75,31,,,,,,,,,,Jamaican 0.5G
3,02-07-2020 06:47:48,Tbilisi,U26MW,Skyhigh,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0033,2254,863,78,32,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
4,02-07-2020 06:47:48,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,1 гр,0.0063,4226,1618,145,60,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,02-07-2020 06:47:48,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.0062,4156,1591,143,59,,,,,,,,,,1 G Hybrid Marijuana Buds
6,02-07-2020 06:47:48,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,4,нет,Тбилиси,1 гр,0.0063,4226,1618,145,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,02-07-2020 06:47:48,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0063,4226,1618,145,60,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,02-07-2020 06:47:48,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0057,3874,1483,133,55,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,02-07-2020 06:47:48,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,6,нет,Тбилиси,1 гр,0.0062,4156,1591,143,59,,,,,,,,,,1 gr super lemon haze probnik
10,02-07-2020 06:47:48,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,8,нет,Тбилиси,1 гр,0.0062,4156,1591,143,59,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,02-07-2020 06:47:48,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4156,1591,143,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,02-07-2020 06:47:48,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,6,нет,Тбилиси,1 гр,0.0055,3733,1429,128,53,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,02-07-2020 06:47:48,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0052,3522,1348,121,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
