,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,02-07-2020 15:46:49,Tbilisi,03F3,geoshop,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,0.5 гр,0.0035,2327,899,80,33,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
1,02-07-2020 15:46:49,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0035,2327,899,80,33,,,,,,,,,,,0.5 gr HYBRID buds
2,02-07-2020 15:46:49,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,3,нет,Тбилиси,0.5 гр,0.0148,9873,3815,339,140,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,02-07-2020 15:46:49,Tbilisi,U26MW,Skyhigh,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,13,нет,Тбилиси,0.5 гр,0.0034,2257,872,78,32,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
4,02-07-2020 15:46:49,Tbilisi,6P9R,RickNMorty,VHQ Hash From Morroco Iso 0.5G THC 23%+,True,16,нет,Тбилиси,0.5 гр,0.0058,3879,1499,133,55,,True,,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
5,02-07-2020 15:46:49,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0064,4231,1635,145,60,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,02-07-2020 15:46:49,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0064,4231,1635,145,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,02-07-2020 15:46:49,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0064,4231,1635,145,60,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,02-07-2020 15:46:49,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0058,3879,1499,133,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
9,02-07-2020 15:46:49,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0062,4161,1608,143,59,,,,,,,,,,,1 gr super lemon haze probnik
10,02-07-2020 15:46:49,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,8,нет,Тбилиси,1 гр,0.0062,4161,1608,143,59,,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,02-07-2020 15:46:49,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.0062,4161,1608,143,59,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,02-07-2020 15:46:49,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,5,нет,Тбилиси,1 гр,0.0056,3738,1444,128,53,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,02-07-2020 15:46:49,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0053,3526,1363,121,50,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
14,02-07-2020 15:46:49,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0064,4231,1635,145,60,,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
15,02-07-2020 15:46:49,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0052,3455,1335,119,49,,,,,,,,,,,1gr HYBRID o.g
16,02-07-2020 15:46:49,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0064,4231,1635,145,60,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
17,02-07-2020 15:46:49,Tbilisi,9Y6T,WeedShop,Jamaican 1г High Thc,True,4,нет,Тбилиси,1 гр,0.0061,4090,1581,141,58,,,,,,,,,,,Jamaican 1g High Thc
18,02-07-2020 15:46:49,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,2,нет,Тбилиси,1 гр,0.0061,4090,1581,141,58,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
19,02-07-2020 15:46:49,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,,4,нет,Тбилиси,1 гр,0.0019,1269,491,44,18,True,,,,,,,,,,Marki n-boooom!!! 1 sht.
