,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,€,Vake,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,03-02-2020 15:57:34,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0124,8308,3270,278,130,,,,,,,,,,,Metadon 0.15gr
1,03-02-2020 15:57:34,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0171,11504,4527,385,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,03-02-2020 15:57:34,Tbilisi,Z5UFK,Vein,DMT A.K.A. Молекула Духа 0.28,True,1,нет,Тбилиси,0.28 гр,0.0234,14252,5608,477,223,,,,,,,,,,,DMT A.K.A. Molekula Duha 0.28
3,03-02-2020 15:57:34,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,10,нет,Тбилиси,0.5 гр,0.0062,3771,1484,126,59,,,,,,,,,,,0.5 g. Ketamine
4,03-02-2020 15:57:34,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,0.5 гр,0.003,1853,729,62,29,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
5,03-02-2020 15:57:34,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,10,нет,Тбилиси,0.5 гр,0.0116,7030,2767,235,110,,,,,,,,,,,"Cocaine, 0.5 g"
6,03-02-2020 15:57:34,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,10,нет,Тбилиси,0.5 гр,0.0063,3835,1509,128,60,,,,,,,,,,,Ketamine 0.5g
7,03-02-2020 15:57:34,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,6,нет,Тбилиси,0.5 гр,0.0105,6327,2490,212,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,03-02-2020 15:57:34,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0104,6966,2741,233,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,03-02-2020 15:57:34,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,8,нет,Тбилиси,0.5 гр,0.0095,5752,2264,192,90,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
