,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,03-03-2020 02:06:30,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.25",True,3,нет,Тбилиси,0.25 гр,0.0086,5306,1995,179,80.0,,,,,,,,,"Black Geroin, Sirec 0.25"
1,1,03-03-2020 02:06:30,Tbilisi,436325081c,Mega Hash 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0048,3250,1222,109,49.0,,,,,,,,,Mega Hash 0.5 gr
2,2,03-03-2020 02:06:30,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0107,6566,2469,221,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,3,03-03-2020 02:06:30,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.0161,9949,3741,335,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
4,4,03-03-2020 02:06:30,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0049,3316,1247,112,50.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,03-03-2020 02:06:30,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0054,3316,1247,112,50.0,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,03-03-2020 02:06:30,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,16,нет,Тбилиси,1 гр,0.0037,2321,873,78,35.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
7,7,03-03-2020 02:06:30,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0205,12536,4714,422,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
8,8,03-03-2020 02:06:30,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,1,нет,Тбилиси,1 гр,0.002,1327,499,45,20.0,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
9,9,03-03-2020 02:06:30,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0589,40000,18406,1347,,,,,,,,,,reagent 25i nbome. 1gr.
10,10,03-03-2020 02:06:30,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0194,12481,4711,420,,,170.0,,,,,,,2 gr mdma (skidka v bitkoin 5%)
11,11,03-03-2020 02:06:30,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0391,23878,8978,804,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
12,12,03-03-2020 02:06:30,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.034,21225,7981,715,320.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
13,13,03-03-2020 02:06:30,Tbilisi,3814ba5701,Hybrid Gagarin. 2g.,True,1,нет,Тбилиси,2 гр,0.0093,5969,2245,201,90.0,,,,,,,,,Hybrid Gagarin. 2g.
14,14,03-03-2020 02:06:30,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0034,2321,873,78,35.0,True,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
15,15,03-03-2020 02:06:30,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0285,18354,6928,618,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
16,16,03-03-2020 02:06:30,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0168,10281,3866,346,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
17,17,03-03-2020 02:06:30,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0457,29367,11084,988,,,400.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
18,18,03-03-2020 02:06:30,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0064,4311,1621,145,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
19,19,03-03-2020 02:06:30,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0392,24210,9103,815,365.0,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
20,20,03-03-2020 02:06:30,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0325,19898,7482,670,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
21,21,03-03-2020 02:06:30,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0097,6566,2469,221,99.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
22,22,03-03-2020 02:06:30,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0412,26531,9976,894,400.0,,,,,,,,,gashish evro 10g
23,23,03-03-2020 02:06:30,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,1,нет,Тбилиси,20 гр,0.0464,29847,11223,1005,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
24,24,03-03-2020 02:06:30,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0801,51536,19378,1736,777.0,,,,,,,,,Gashish Evro 20gr
25,25,03-03-2020 02:06:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0293,17908,6734,603,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
26,26,03-03-2020 02:06:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0326,19898,7482,670,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
27,27,03-03-2020 02:06:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,5,Тбилиси,1.1 гр,0.0705,43113,16211,1452,650.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
28,28,03-03-2020 02:06:30,Tbilisi,adf2d19b92,Subotex B8 Francce,True,нет,5,Тбилиси,1.4 гр,0.0274,18572,6983,626,280.0,,,,,,,,,Subotex B8 Francce
29,29,03-03-2020 02:06:30,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0179,11077,4165,373,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
30,30,03-03-2020 02:06:30,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0176,12114,4572,408,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
31,31,03-03-2020 02:06:30,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.064,39133,14715,1318,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,03-03-2020 02:06:30,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,3,Тбилиси,3 гр,0.0185,12536,4714,422,189.0,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
33,33,03-03-2020 02:06:30,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,26531,9976,894,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,03-03-2020 02:07:05,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,36480,13717,1229,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,03-03-2020 02:07:05,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0258,15919,5986,536,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
36,36,03-03-2020 02:07:05,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
37,37,03-03-2020 02:07:05,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
