,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Vake,Gldani,Didube,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,03-04-2020 18:48:38,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,4,нет,Тбилиси,0.2 гр,0.0045,2721,968,91,35.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,03-04-2020 18:48:38,Tbilisi,54915c4374,MDMA 0.210 грам.,True,1,нет,Тбилиси,0.21 гр,0.0045,2721,968,91,35.0,,,,,,,,,,,,MDMA 0.210 gram.
2,2,03-04-2020 18:48:38,Tbilisi,83f3d55917,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,7,нет,Тбилиси,0.5 гр,0.0041,2332,830,78,30.0,True,True,,,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
3,3,03-04-2020 18:48:38,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,3,нет,Тбилиси,0.5 гр,0.0422,23320,8295,777,300.0,,,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
4,4,03-04-2020 18:48:38,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,10,нет,Тбилиси,1 гр,0.0077,4664,1659,155,60.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,03-04-2020 18:48:38,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.006999999999999999,3887,1383,129,50.0,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,03-04-2020 18:48:38,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0055,3032,1078,101,39.0,True,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,03-04-2020 18:48:38,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0056,3109,1106,104,40.0,True,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,03-04-2020 18:48:38,Tbilisi,e56bb6ca93,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,1,нет,Тбилиси,1 гр,0.0058,3187,1134,106,41.0,True,,,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
9,9,03-04-2020 18:48:38,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,4,нет,Тбилиси,1 гр,0.0053,2954,1051,98,38.0,True,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,03-04-2020 18:48:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0255,14691,5226,489,189.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,03-04-2020 18:48:38,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,5,нет,Тбилиси,1 гр,0.0844,46640,16590,1554,600.0,,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,03-04-2020 18:48:38,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0052,3187,1134,106,41.0,True,,,,,,,,,,,Hybrid Ana-sha 1G.
13,13,03-04-2020 18:48:38,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,5,нет,Тбилиси,1 гр,0.0985,54413,19355,1813,700.0,,,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,14,03-04-2020 18:48:38,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0844,46640,16590,1554,600.0,True,,,,,,,,,,,Metadon VHQ 1 24/7
15,15,03-04-2020 18:48:38,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,5,нет,Тбилиси,1 гр,0.0142,7851,2793,262,101.0,,,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
16,16,03-04-2020 18:48:38,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0263,14691,5226,489,189.0,True,,,,,,,,,,,Kokain HQ 1g.
17,17,03-04-2020 18:48:38,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0252,13914,4949,463,179.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
18,18,03-04-2020 18:48:38,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1151,69959,24885,2330,900.0,True,,,,,,,,,,,Metadon 1gr
19,19,03-04-2020 18:48:38,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.0026,1555,553,52,20.0,True,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
20,20,03-04-2020 18:48:38,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0097,5364,1908,179,69.0,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,21,03-04-2020 18:48:38,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0097,5364,1908,179,69.0,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,22,03-04-2020 18:48:38,Tbilisi,e56bb6ca93,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,2,нет,Тбилиси,2 гр,0.0111,6141,2184,205,79.0,True,,,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
23,23,03-04-2020 18:48:38,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,4,нет,Тбилиси,2 гр,0.0112,6141,2184,205,79.0,,,,True,,,,,,,,2g super Skunk top class buds. Indica
24,24,03-04-2020 18:48:38,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,2,нет,Тбилиси,2 гр,0.0106,5830,2074,194,75.0,True,,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
25,25,03-04-2020 18:48:38,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,11,нет,Тбилиси,2 гр,0.0045,2721,968,91,35.0,True,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
26,26,03-04-2020 18:48:38,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,3,нет,Тбилиси,2 гр,0.0512,29461,10479,981,379.0,True,,,,,,,,,,,Kokain HQ 2g.
27,27,03-04-2020 18:48:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0045,2721,968,91,35.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
28,28,03-04-2020 18:48:38,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0432,24874,8848,829,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
