,Unnamed: 0,time_stamp,region,sell_code,description,Авлобари,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Nadzaladevi,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
0,0,03-05-2020 14:12:37,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",True,True,5,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29.0,,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
1,1,03-05-2020 14:12:37,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,,4,нет,Тбилиси,0.5 гр,0.003,2109,789,70,29.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,03-05-2020 14:12:37,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,,11,нет,Тбилиси,1 гр,0.0057,4000,1496,133,55.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,03-05-2020 14:12:37,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",,,1,нет,Тбилиси,1 гр,0.005,3491,1306,116,48.0,True,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
4,4,03-05-2020 14:12:37,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",,,3,нет,Тбилиси,1 гр,0.005,3491,1306,116,48.0,True,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
5,5,03-05-2020 14:12:37,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,,5,нет,Тбилиси,1 гр,0.0039,2982,1115,99,41.0,True,,,,,,,,,,,Hybrid Ana-sha 1G.
6,6,03-05-2020 14:12:37,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,,3,нет,Тбилиси,1 гр,0.0057,4000,1496,133,55.0,True,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
7,7,03-05-2020 14:12:37,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",True,,3,нет,Тбилиси,1 гр,0.0046,3564,1333,118,49.0,,True,,,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
8,8,03-05-2020 14:12:37,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,,7,нет,Тбилиси,1 гр,0.0043,2982,1115,99,41.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
9,9,03-05-2020 14:12:37,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,,2,нет,Тбилиси,1 гр,0.0239,16654,6229,553,229.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
10,10,03-05-2020 14:12:37,Tbilisi,61df6a1c90,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.0853,65454,24480,2173,900.0,True,,,,,,,,,,,Metadon 1gr
