,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Gldani,€,Батуми,Центр,Кутаиси,desc_en
0,03-05-2020 18:24:09,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,True,2,нет,Тбилиси,0.5 гр,0.0058,4000,1496,133,55,,,,,,,,,,,,HQ Euro Hashish 0.5 g
1,03-05-2020 18:24:09,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,7,нет,Тбилиси,0.5 гр,0.0029,1964,734,65,27,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,03-05-2020 18:24:09,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29,,,True,True,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
3,03-05-2020 18:24:09,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,03-05-2020 18:24:09,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,7,нет,Тбилиси,1 гр,0.0058,4000,1496,133,55,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
5,03-05-2020 18:24:09,Tbilisi,H9FHF,OldStar,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0205,14000,6442,465,,True,,,,,,,,,,,1 a-pvp white
6,03-05-2020 18:24:09,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,6,нет,Тбилиси,1 гр,0.0049,3709,1387,123,51,,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,03-05-2020 18:24:09,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",,4,нет,Тбилиси,1 гр,0.0051,3491,1306,116,48,True,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,03-05-2020 18:24:09,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",,1,нет,Тбилиси,1 гр,0.0051,3491,1306,116,48,True,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
9,03-05-2020 18:24:09,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.025,17091,6392,567,235,True,,,,,,,,,,,Cocaine Pure VHQ 1g
10,03-05-2020 18:24:09,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,,2,нет,Тбилиси,1 гр,0.004,2982,1115,99,41,True,,,,,,,,,,,Hybrid Ana-sha 1G.
11,03-05-2020 18:24:09,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,1,нет,Тбилиси,1 гр,0.0058,4000,1496,133,55,True,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
12,03-05-2020 18:24:09,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,,7,нет,Тбилиси,1 гр,0.0044,2982,1115,99,41,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
13,03-05-2020 18:24:09,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0243,16654,6229,553,229,,,,,True,,,,,,,Kokain KOLUMBIA 1g
14,03-05-2020 18:24:09,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0869,65454,24480,2173,900,True,,,,,,,,,,,Metadon 1gr
15,03-05-2020 18:24:09,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0256,17382,6501,577,239,,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
16,03-05-2020 18:24:09,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,3,нет,Тбилиси,1.5 гр,0.0068,5091,1904,169,70,,,True,True,,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
17,03-05-2020 18:24:09,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,5,нет,Тбилиси,2 гр,0.0096,6473,2421,215,89,True,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
18,03-05-2020 18:24:09,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,6182,2312,205,85,,,,,,,True,,,,,2g super Skunk top class buds.
19,03-05-2020 18:24:09,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,1,нет,Тбилиси,2 гр,0.0075,5091,1904,169,70,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
20,03-05-2020 18:24:09,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,2 гр,0.0095,6473,2421,215,89,True,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
21,03-05-2020 18:24:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,2,нет,Тбилиси,2 гр,0.0505,34909,13056,1159,480,True,,,,,,,,,,,VHQ BEST Cocaine 2g.
22,03-05-2020 18:24:09,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.009,6182,2312,205,85,,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
23,03-05-2020 18:24:09,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,4,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119,True,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
24,03-05-2020 18:24:09,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119,,,,,,,True,,,,,3g superskunk top class buds.
25,03-05-2020 18:24:09,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0113,7636,2856,254,105,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
26,03-05-2020 18:24:09,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,,8,нет,Тбилиси,3 гр,0.0106,7273,2720,241,100,True,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
