,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
0,0,03-05-2020 23:01:04,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,1,нет,Тбилиси,0.3 гр,0.0088,2761,199,6000,,,,,,,,,,,,,0.3 a-pvp white
1,1,03-05-2020 23:01:04,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,1,нет,Тбилиси,0.5 гр,0.003,762,68,2036,28.0,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
2,2,03-05-2020 23:01:04,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,3,нет,Тбилиси,0.5 гр,0.0117,3681,266,8000,,,,,,,,,,,,,0.5 a-pvp white
3,3,03-05-2020 23:01:04,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0037,952,85,2545,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,03-05-2020 23:01:04,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0036,925,82,2473,34.0,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,03-05-2020 23:01:04,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0059,1496,133,4000,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
6,6,03-05-2020 23:01:04,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,5,нет,Тбилиси,0.5 гр,0.0029,734,65,1964,27.0,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
7,7,03-05-2020 23:01:04,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0059,1496,133,4000,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,03-05-2020 23:01:04,Tbilisi,f25c0d6c5c,1 a-pvp white,True,2,нет,Тбилиси,1 гр,0.0205,6442,465,14000,,,,,,,,,,,,,1 a-pvp white
9,9,03-05-2020 23:01:04,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,5,нет,Тбилиси,1 гр,0.0059,1496,133,4000,55.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,10,03-05-2020 23:01:04,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,5,нет,Тбилиси,1 гр,0.0049,1387,123,3709,51.0,,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,03-05-2020 23:01:04,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0061,1550,138,4145,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,03-05-2020 23:01:04,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0061,1550,138,4145,57.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,03-05-2020 23:01:04,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0059,1496,133,4000,55.0,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
14,14,03-05-2020 23:01:04,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,7,нет,Тбилиси,1 гр,0.0051,1306,116,3491,48.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
15,15,03-05-2020 23:01:04,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0051,1306,116,3491,48.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
16,16,03-05-2020 23:01:04,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0051,1306,116,3491,48.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
17,17,03-05-2020 23:01:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.025,6392,567,17091,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
18,18,03-05-2020 23:01:04,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.004,1115,99,2982,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
19,19,03-05-2020 23:01:04,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,3,нет,Тбилиси,1 гр,0.0059,1496,133,4000,55.0,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
20,20,03-05-2020 23:01:04,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,7,нет,Тбилиси,1 гр,0.0044,1115,99,2982,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
21,21,03-05-2020 23:01:04,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0244,6229,553,16654,229.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
22,22,03-05-2020 23:01:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0872,24480,2173,65454,900.0,,,,,,,,,,,,Metadon 1gr
23,23,03-05-2020 23:01:04,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0257,6501,577,17382,239.0,,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
24,24,03-05-2020 23:01:04,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,3,нет,Тбилиси,1.5 гр,0.0068,1904,169,5091,70.0,,,,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
25,25,03-05-2020 23:01:04,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0096,2421,215,6473,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
26,26,03-05-2020 23:01:04,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0096,2421,215,6473,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
27,27,03-05-2020 23:01:04,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,2312,205,6182,85.0,,,,,,,True,,,,,2g super Skunk top class buds.
28,28,03-05-2020 23:01:04,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0075,1904,169,5091,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
