,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,03-06-2020 03:35:55,Tbilisi,OX85,amnesia420,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,10,нет,Тбилиси,0.5 гр,0.0031,2070,807,72,30,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,03-06-2020 03:35:55,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.006,3932,1533,137,57,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,03-06-2020 03:35:55,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0246,16211,6322,564,235,,,,,,,,,,Cocaine Pure VHQ 1g
3,03-06-2020 03:35:55,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0856,62085,24210,2158,900,,,,,,,,,,Metadon 1gr
4,03-06-2020 03:35:55,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0253,16487,6429,573,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,03-06-2020 03:35:55,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0115,7519,2932,261,109,True,,,,,,,,,✨ 1g. MDMA ✨
6,03-06-2020 03:35:55,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0742,49906,19533,1738,,,True,650,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
7,03-06-2020 03:35:55,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,2 гр,0.0093,6140,2394,213,89,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
8,03-06-2020 03:35:55,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0126,8209,3201,285,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
9,03-06-2020 03:35:55,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0111,7243,2825,252,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,03-06-2020 03:35:55,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0186,13452,5246,468,195,,,,,,,,,,4g.marihuana shishki white widow
11,03-06-2020 03:35:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0112,7381,2878,257,107,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
12,03-06-2020 03:35:55,Tbilisi,V76M,Endorphin,Suboxene 4mg,True,1,нет,Тбилиси,4 гр,0.0055,3794,1480,132,55,,,,,,,,,,Suboxene 4mg
13,03-06-2020 03:35:55,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0311,20695,8070,719,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
14,03-06-2020 03:35:55,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0145,9589,3739,333,139,,,,,,,,,,5 gr georgian weed. Package on magnet
15,03-06-2020 03:35:55,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0228,16556,6456,576,240,,,,,,,,,,5g. marihuana shishki Critical
16,03-06-2020 03:35:55,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,10,нет,Тбилиси,5 гр,0.0062,4070,1587,141,59,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
17,03-06-2020 03:35:55,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0185,12072,4708,420,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,03-06-2020 03:35:55,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0282,18556,7236,645,269,,,,,,,,,,10 gr georgian weed. Package on magnet
19,03-06-2020 03:35:55,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,9,нет,Тбилиси,10 гр,0.0105,6898,2690,240,100,,,,True,,,,,,10 gr marihuana list'ja top gibrid
20,03-06-2020 03:35:55,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0476,34492,13450,1199,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
21,03-06-2020 03:35:55,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0034,2483,968,86,36,,,,,,,,,,GABAGAMA 20 SHTUK
22,03-06-2020 03:35:55,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5519,2152,192,80,,,,,,,,,,GABAGAMA 50 SHTUK
23,03-06-2020 03:35:55,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1903,137966,53800,4796,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,03-06-2020 03:35:55,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,9,Тбилиси,0.25 гр,0.0042,2759,1076,96,40,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
25,03-06-2020 03:35:55,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0077,5174,2018,180,75,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
26,03-06-2020 03:35:55,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0157,10347,4035,360,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
27,03-06-2020 03:35:55,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.5G A+++,True,нет,4,Тбилиси,0.5 гр,0.0068,4484,1749,156,65,,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
28,03-06-2020 03:35:55,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 1G A+++,True,нет,5,Тбилиси,1 гр,0.012,7933,3094,276,115,,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
29,03-06-2020 03:35:55,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0377,24834,9684,863,360,,,,,,,,,,Gerojn (sirets) 1 gr
30,03-06-2020 03:35:55,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 2g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,2 гр,0.0174,11727,4573,408,170,,,,,,,,,,!! Gashish !! Hash 2g !!! BTC SALE 5%!!!!
31,03-06-2020 03:35:55,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0222,14486,5649,504,210,,,,,,,,,,✨✨2gram. MDMA✨✨
32,03-06-2020 03:35:55,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.039,25455,9926,885,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,03-06-2020 03:35:55,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0612,39941,15575,1389,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,03-06-2020 03:36:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0419,27593,10760,959,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,03-06-2020 03:36:53,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0147,9658,3766,336,140,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
36,03-06-2020 03:36:53,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0733,48288,18830,1679,700,,,,,,,,,,"""Kief"" Weed trichomes 5G"
37,03-06-2020 03:36:53,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0576,37941,14795,1319,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0246,16211,6322,564,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0251,16556,6456,576,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
40,03-06-2020 03:36:53,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0241,15866,6187,552,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0251,16556,6456,576,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,03-06-2020 03:36:53,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0251,16556,6456,576,240,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,15866,6187,552,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,03-06-2020 03:36:53,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0208,15107,5891,525,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
