,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,03-06-2020 17:17:35,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,8,нет,Тбилиси,0.5 гр,0.0035,2324,915,82,34,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,03-06-2020 17:17:35,Tbilisi,03F3,geoshop,1 g indica шишки марихуана топ,True,10,нет,Тбилиси,1 гр,0.0041,2734,1076,96,40,,,,,,,,,,1 g indica shishki marihuana top
2,03-06-2020 17:17:35,Tbilisi,JVZTQ,partyshop,1 г шишки марихуана индика тгк 21% VHQ,,8,нет,Тбилиси,1 гр,0.0041,2734,1076,96,40,True,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
3,03-06-2020 17:17:35,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0836,61507,24210,2158,900,True,,,,,,,,,Metadon 1gr
4,03-06-2020 17:17:35,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0662,45208,17789,1577,,,True,590,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
5,03-06-2020 17:17:35,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,2 гр,0.0091,6082,2394,213,89,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
6,03-06-2020 17:17:35,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0108,7176,2825,252,105,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
7,03-06-2020 17:17:35,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0054,3759,1480,132,55,True,,,,,,,,,Suboxene 4mg
8,03-06-2020 17:17:35,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0303,20502,8070,719,300,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
9,03-06-2020 17:17:35,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,7,нет,Тбилиси,5 гр,0.0142,9499,3739,333,139,True,,,,,,,,,5 gr georgian weed. Package on magnet
10,03-06-2020 17:17:35,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0223,16402,6456,576,240,True,,,,,,,,,5g. marihuana shishki Critical
11,03-06-2020 17:17:35,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,8,нет,Тбилиси,5 гр,0.006,4032,1587,141,59,True,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
12,03-06-2020 17:17:35,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0181,11960,4708,420,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,03-06-2020 17:17:35,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,3,нет,Тбилиси,5 гр,0.1159,79959,31473,2806,1170,True,,,,,,,,,VHQ BEST Cocaine 5g.
14,03-06-2020 17:17:35,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,8,нет,Тбилиси,10 гр,0.0102,6834,2690,240,100,True,,,True,,,,,,10 gr marihuana list'ja top gibrid
15,03-06-2020 17:17:35,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34171,13450,1199,500,True,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,03-06-2020 17:17:35,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0033,2460,968,86,36,True,,,,,,,,,GABAGAMA 20 SHTUK
17,03-06-2020 17:17:35,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,1,нет,Тбилиси,50 гр,0.0074,5467,2152,192,80,True,,,,,,,,,GABAGAMA 50 SHTUK
18,03-06-2020 17:17:35,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1857,136683,53800,4796,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,03-06-2020 17:17:35,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,нет,9,Тбилиси,0.25 гр,0.0041,2734,1076,96,40,True,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
20,03-06-2020 17:17:35,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,,нет,5,Тбилиси,0.3 гр,0.0075,5126,2018,180,75,True,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
21,03-06-2020 17:17:35,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,,нет,46,Тбилиси,0.33 гр,0.0153,10251,4035,360,150,True,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
22,03-06-2020 17:17:35,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.5G A+++,,нет,3,Тбилиси,0.5 гр,0.0066,4442,1749,156,65,True,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
23,03-06-2020 17:17:35,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 1G A+++,,нет,4,Тбилиси,1 гр,0.0117,7859,3094,276,115,True,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
24,03-06-2020 17:17:35,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,,нет,19,Тбилиси,1 гр,0.0368,24603,9684,863,360,True,,,,,,,,,Gerojn (sirets) 1 gr
25,03-06-2020 17:17:35,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0217,14352,5649,504,210,True,,,,,,,,,✨✨2gram. MDMA✨✨
26,03-06-2020 17:17:35,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,6,Тбилиси,2 гр,0.0381,25218,9926,885,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,03-06-2020 17:17:35,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0597,39570,15575,1389,579,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,03-06-2020 17:17:35,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0409,27337,10760,959,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,03-06-2020 17:17:35,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,3,2,Тбилиси,4 гр,0.0143,9568,3766,336,140,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
30,03-06-2020 17:17:35,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0715,47839,18830,1679,700,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
31,03-06-2020 17:17:35,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0562,37588,14795,1319,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,03-06-2020 17:17:35,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.024,16060,6322,564,235,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,03-06-2020 17:17:35,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0245,16402,6456,576,240,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
35,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0235,15719,6187,552,230,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
36,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0246,16402,6456,576,240,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15719,6187,552,230,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,03-06-2020 17:18:33,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,14967,5891,525,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,03-06-2020 17:18:33,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0259,17085,6725,600,250,True,,,,,,,,,MARIXYANA - INDICA - 5 G.
41,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16060,6322,564,235,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,03-06-2020 17:18:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2588,190000,87429,6611,,True,,,,,,,,,reagent 25i nbome. 5gr
43,03-06-2020 17:18:33,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,205024,80700,7194,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0992,65539,25797,2300,959,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0196,12985,5111,456,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,03-06-2020 17:18:33,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0506,33419,13154,1173,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
47,03-06-2020 17:18:33,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0207,13668,5380,480,200,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,03-06-2020 17:18:33,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,61507,24210,2158,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,03-06-2020 17:18:33,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.041,27337,10760,959,400,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,03-06-2020 17:18:33,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,47839,18830,1679,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,03-06-2020 17:18:33,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,28703,11298,1007,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
