,time_stamp,region,sell_code,sell_name,description,Saburtalo,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,03-06-2020 21:32:38,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,True,3,8,Тбилиси,0.25 гр,0.0041,2734,1076,96,40,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
1,03-06-2020 21:32:38,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг)!💉⭕⚜,,True,2,нет,Тбилиси,0.27 гр,0.0078,5126,2018,180,75,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg)!💉⭕⚜
2,03-06-2020 21:32:38,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,True,1,нет,Тбилиси,1 гр,0.0842,61507,24210,2158,900,,,,,,,,,Metadon 1gr
3,03-06-2020 21:32:38,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,,1,нет,Тбилиси,1.5 гр,0.0667,45208,17789,1577,,True,590,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
4,03-06-2020 21:32:38,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,True,1,нет,Тбилиси,2 гр,0.0497,33351,13127,1170,488,,,,,,,,,VHQ BEST Cocaine 2g.
5,03-06-2020 21:32:38,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,True,2,нет,Тбилиси,5 гр,0.0305,20502,8070,719,300,,,,,,,,,5 Grm Mdma Pure Quality A +++
6,03-06-2020 21:32:38,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,True,5,нет,Тбилиси,5 гр,0.0143,9499,3739,333,139,,,,,,,,,5 gr georgian weed. Package on magnet
7,03-06-2020 21:32:38,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,True,3,нет,Тбилиси,5 гр,0.0224,16402,6456,576,240,,,,,,,,,5g. marihuana shishki Critical
8,03-06-2020 21:32:38,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,True,7,нет,Тбилиси,5 гр,0.0061,4032,1587,141,59,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
9,03-06-2020 21:32:38,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,True,4,нет,Тбилиси,5 гр,0.0182,11960,4708,420,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
10,03-06-2020 21:32:38,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,True,1,нет,Тбилиси,5 гр,0.1167,79959,31473,2806,1170,,,,,,,,,VHQ BEST Cocaine 5g.
11,03-06-2020 21:32:38,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,True,1,нет,Тбилиси,10 гр,0.0277,18384,7236,645,269,,,,,,,,,10 gr georgian weed. Package on magnet
12,03-06-2020 21:32:38,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,True,8,нет,Тбилиси,10 гр,0.0103,6834,2690,240,100,,,True,,,,,,10 gr marihuana list'ja top gibrid
13,03-06-2020 21:32:38,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,True,1,нет,Тбилиси,12 гр,0.0468,34171,13450,1199,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
14,03-06-2020 21:32:38,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,,True,1,нет,Тбилиси,20 гр,0.0034,2460,968,86,36,,,,,,,,,GABAGAMA 20 SHTUK
15,03-06-2020 21:32:38,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,True,1,нет,Тбилиси,50 гр,0.0075,5467,2152,192,80,,,,,,,,,GABAGAMA 50 SHTUK
16,03-06-2020 21:32:38,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,True,1,нет,Тбилиси,60 гр,0.187,136683,53800,4796,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
