,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
0,0,03-08-2020 08:22:23,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,14,нет,Тбилиси,0.12 гр,0.0088,8077,3065,268,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,03-08-2020 08:22:23,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G Crystals imported,True,3,нет,Тбилиси,0.25 гр,0.0245,20412,7745,678,278.0,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
2,2,03-08-2020 08:22:23,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
3,3,03-08-2020 08:22:23,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2056,780,68,28.0,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
4,4,03-08-2020 08:22:23,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,10,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
5,5,03-08-2020 08:22:23,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),True,6,нет,Тбилиси,0.5 гр,0.0028,2276,864,76,31.0,,True,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
6,6,03-08-2020 08:22:23,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,6,нет,Тбилиси,0.5 гр,0.0026,2129,808,71,29.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,7,03-08-2020 08:22:23,Tbilisi,16a8841259,0.5г Northen Light,True,2,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,0.5g Northen Light
8,8,03-08-2020 08:22:23,Tbilisi,16a8841259,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,0.5g Skunk
9,9,03-08-2020 08:22:23,Tbilisi,16a8841259,0.5г Tangerine Dream,True,4,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,0.5g Tangerine Dream
10,10,03-08-2020 08:22:23,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,4,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,True,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
11,11,03-08-2020 08:22:23,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,12,03-08-2020 08:22:23,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,13,03-08-2020 08:22:23,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,4,нет,Тбилиси,0.5 гр,0.0021,1836,697,61,25.0,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
14,14,03-08-2020 08:22:23,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,15,03-08-2020 08:22:23,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4406,1672,146,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,03-08-2020 08:22:23,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,,,,,,,,,,,1 gr super lemon haze probnik
17,17,03-08-2020 08:22:23,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
18,18,03-08-2020 08:22:23,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,19,03-08-2020 08:22:23,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,1 гр,0.0049,4038,1532,134,55.0,,True,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
20,20,03-08-2020 08:22:23,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,3,нет,Тбилиси,1 гр,0.0047,3892,1477,129,53.0,True,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
21,21,03-08-2020 08:22:23,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,,,,,,,,,,,1gr HYBRID o.g
22,22,03-08-2020 08:22:23,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
23,23,03-08-2020 08:22:23,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0041,3378,1282,112,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
24,24,03-08-2020 08:22:23,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,18,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,Auto Amnesia Haze 1 gr
25,25,03-08-2020 08:22:23,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4259,1616,141,58.0,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
26,26,03-08-2020 08:22:23,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
27,27,03-08-2020 08:22:23,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,3,нет,Тбилиси,1.5 гр,0.0132,11014,4179,366,150.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
28,28,03-08-2020 08:22:23,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,03-08-2020 08:22:23,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,03-08-2020 08:22:23,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,True,6,нет,Тбилиси,2 гр,0.0088,7343,2786,244,100.0,,,,,,,,,,,Maserati (ecstasy) 2sht
31,31,03-08-2020 08:22:23,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,10,нет,Тбилиси,2.2 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
32,32,03-08-2020 08:22:23,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,True,3,нет,Тбилиси,3 гр,0.0132,11014,4179,366,150.0,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
33,33,03-08-2020 08:22:23,Tbilisi,c47f675e02,3 gram + skunk auto шишки,,1,нет,Тбилиси,3 гр,0.0114,9913,3761,329,135.0,,,True,,,,,,,,3 gram + skunk auto shishki
34,34,03-08-2020 08:22:23,Tbilisi,c47f675e02,Lsd-25 шишки 3gram,True,2,нет,Тбилиси,3 гр,0.0123,10647,4040,353,145.0,,,,,,,,,,,Lsd-25 shishki 3gram
35,35,03-08-2020 08:23:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0072,6608,2507,219,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
