,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
0,0,03-08-2020 22:21:15,Tbilisi,52fe6d0af9,VHQ Methadon 0.25G Crystals imported,True,1,нет,Тбилиси,0.25 гр,0.0231,19652,7407,646,265.0,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
1,1,03-08-2020 22:21:15,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2151,811,71,29.0,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,2,03-08-2020 22:21:15,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,5,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,,,,,,,,,,,0.5 Gram Skunk HQ
3,3,03-08-2020 22:21:15,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0029,2447,922,80,33.0,,,,,,,,,,,0.5 gr HYBRID buds
4,4,03-08-2020 22:21:15,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,10,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32.0,True,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,5,03-08-2020 22:21:15,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,7,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32.0,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,6,03-08-2020 22:21:15,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),True,3,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,,True,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
7,7,03-08-2020 22:21:15,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,6,нет,Тбилиси,0.5 гр,0.0024,2076,783,68,28.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
8,8,03-08-2020 22:21:15,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,True,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
9,9,03-08-2020 22:21:15,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.003,2521,950,83,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
