,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,04-02-2020 14:05:32,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,8,нет,Тбилиси,0.15 гр,0.0126,8308,3263,279,130,,,,,,,,,,Metadon 0.15gr
1,04-02-2020 14:05:32,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0175,11504,4518,387,180,,,,,,,,,,Metadon VHQ 0.25 24/7
2,04-02-2020 14:05:32,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,9,нет,Тбилиси,0.5 гр,0.0064,3771,1481,127,59,,,,,,,,,,0.5 g. Ketamine
3,04-02-2020 14:05:32,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,10,нет,Тбилиси,0.5 гр,0.0118,7030,2761,236,110,,,,,,,,,,"Cocaine, 0.5 g"
4,04-02-2020 14:05:32,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,8,нет,Тбилиси,0.5 гр,0.0065,3835,1506,129,60,,,,,,,,,,Ketamine 0.5g
5,04-02-2020 14:05:32,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0291,19173,7530,644,300,,,,,,,,,,Metadon VHQ 0.5 24/7
6,04-02-2020 14:05:32,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,5,нет,Тбилиси,0.5 гр,0.0107,6327,2485,213,99,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,04-02-2020 14:05:32,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0106,6966,2736,234,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,04-02-2020 14:05:32,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,5,нет,Тбилиси,0.5 гр,0.0107,6327,2485,213,99,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
9,04-02-2020 14:05:32,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL)! 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.016,9586,3765,322,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL)! 0.8 gr. (1 shtuka)
10,04-02-2020 14:05:32,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,20,нет,Тбилиси,1 гр,0.0044,2876,1130,97,45,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
11,04-02-2020 14:05:32,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,6,нет,Тбилиси,1 гр,0.0044,2684,1054,90,42,True,,,,,,,,,1G -- AK-47 -> Sativa
12,04-02-2020 14:05:32,Tbilisi,LYHBG,Playboy,1g MDMA - !!!NEW!!! - Purity 93%,True,1,нет,Тбилиси,1 гр,0.0107,6327,2485,213,99,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
13,04-02-2020 14:05:32,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0096,6017,2359,202,,,85,,,,,,,,1gr mdma (skidka v bitkoin 5%)
14,04-02-2020 14:05:32,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0213,12654,4970,425,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
15,04-02-2020 14:05:32,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,2,нет,Тбилиси,1 гр,0.0128,7669,3012,258,120,,,,,,,,,,Apvp VHQ 1g 24/7
16,04-02-2020 14:05:32,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0237,14060,5522,473,220,,,,,,,,,,"Cocaine, 1g"
17,04-02-2020 14:05:32,Tbilisi,Z5UFK,Vein,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0116,6966,2736,234,109,,,,,,,,,,Crystal Mephedrone 1g
18,04-02-2020 14:05:32,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,8,нет,Тбилиси,1 гр,0.0108,6391,2510,215,100,,,,,,,,,,Ketamine 1g
19,04-02-2020 14:05:32,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,6,нет,Тбилиси,1 гр,0.0096,5688,2234,191,89,,,,,,,,,,Ketamine 1g.
20,04-02-2020 14:05:32,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0485,31955,12550,1074,500,,,,,,,,,,Metadon VHQ 1 24/7
21,04-02-2020 14:05:32,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0193,11440,4493,385,179,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
22,04-02-2020 14:05:32,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,3,нет,Тбилиси,1 гр,0.0136,8947,3514,301,140,,,,,,,,,,NZT-52 mind storm limited 1g muka
23,04-02-2020 14:05:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0193,12718,4995,428,199,,,,,,,,,,VHQ BEST Cocaine 1g.
24,04-02-2020 14:05:32,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.021,12718,4995,428,199,,,,,,,,,,Kokain HQ 1g.
25,04-02-2020 14:05:32,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0212,12718,4995,428,199,,,True,,,,,,,Kokain KOLUMBIA 1g
26,04-02-2020 14:05:32,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.048,28759,11295,967,450,,,,,,,,,,"Metadon, 1gr"
27,04-02-2020 14:05:32,Tbilisi,JPY,OaksShopp,мощный гибрид /hybrid weed 1g strong,,10,нет,Тбилиси,1 гр,0.0034,2237,879,75,35,True,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
28,04-02-2020 14:05:32,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0107,6327,2485,213,99,,,,,,,,,,✨ 1g. MDMA ✨
29,04-02-2020 14:05:32,Tbilisi,9VLN,AlienShop,❄1g. New COCAINE!!❄,True,1,нет,Тбилиси,1 гр,0.0194,11504,4518,387,180,,,,,,,,,,❄1g. New COCAINE!!❄
30,04-02-2020 14:05:32,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0079,4955,1943,166,,,70,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
31,04-02-2020 14:05:32,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0408,24222,9513,814,379,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
32,04-02-2020 14:05:32,Tbilisi,Z9UT,Rainbow,Hybrid Marijuana High Quality 2G,True,2,нет,Тбилиси,2 гр,0.0085,5113,2008,172,80,,,,,,,,,,Hybrid Marijuana High Quality 2G
33,04-02-2020 14:05:32,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0194,11504,4518,387,180,,,,,,,,,,Ketamine 2 g
34,04-02-2020 14:05:32,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0233,15338,6024,516,240,,,,,,,,,,NZT-52 mind storm limited 2g muka
35,04-02-2020 14:05:32,Tbilisi,V4T,COCAcoLA,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,5,нет,Тбилиси,2 гр,0.0114,6966,2736,234,109,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
