,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
0,04-03-2020 09:51:50,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,1 гр,0.005,3322,1254,112,50,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
1,04-03-2020 09:51:50,Tbilisi,OX85,amnesia420,1g AMNESIA HAZE Sativa THC 20% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.004,2658,1003,89,40,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -10% sale
2,04-03-2020 09:51:50,Tbilisi,OX85,amnesia420,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.004,2658,1003,89,40,,,,,,,,1g PURPLE HAZE Sativa THC 19% / BTC -10% sale
3,04-03-2020 09:51:50,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0897,59799,22563,2011,900,,,,,,,,Metadon 1gr
4,04-03-2020 09:51:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.06,40000,18406,1347,,,,,,,,,reagent 25i nbome. 1gr.
5,04-03-2020 09:51:50,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0076,4585,1730,154,69,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
6,04-03-2020 09:51:50,Tbilisi,TDSHF,THC,Hybrid Gagarin. 2g.,True,1,нет,Тбилиси,2 гр,0.0095,5980,2256,201,90,,,,,,,,Hybrid Gagarin. 2g.
7,04-03-2020 09:51:50,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0293,18485,7023,618,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
8,04-03-2020 09:51:50,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,4,нет,Тбилиси,4 гр,0.006,3987,1504,134,60,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
9,04-03-2020 09:51:50,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0468,29575,11236,988,,400,,,,,,,5 gr mdma (skidka v bitkoin 5%)
10,04-03-2020 09:51:50,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0065,4319,1630,145,65,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
11,04-03-2020 09:51:50,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.04,24252,9151,815,365,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
12,04-03-2020 09:51:50,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0099,6578,2482,221,99,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
13,04-03-2020 09:51:50,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0421,26577,10028,894,400,,,,,,,,gashish evro 10g
14,04-03-2020 09:51:50,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,1,нет,Тбилиси,20 гр,0.0473,29900,11282,1005,450,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
15,04-03-2020 09:51:50,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0817,51627,19479,1736,777,,,,,,,,Gashish Evro 20gr
16,04-03-2020 09:51:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0299,17940,6769,603,270,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
17,04-03-2020 09:51:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0332,19933,7521,670,300,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
18,04-03-2020 09:51:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.072,43188,16296,1452,650,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
19,04-03-2020 09:51:50,Tbilisi,OSN8,KOLOVSKI,Subotex B8 Francce,True,нет,5,Тбилиси,1.4 гр,0.0279,18604,7020,626,280,,,,,,,,Subotex B8 Francce
20,04-03-2020 09:51:50,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0183,11096,4187,373,167,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
21,04-03-2020 09:51:50,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0181,12200,4635,408,,165,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
22,04-03-2020 09:51:50,Tbilisi,OX85,amnesia420,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,True,нет,1,Тбилиси,3 гр,0.011,7309,2758,246,110,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
