,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,04-03-2020 15:13:19,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.011000000000000001,6644,2507,223,100.0,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
1,1,04-03-2020 15:13:19,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.06,40000,18406,1347,,,,,,,,,,reagent 25i nbome. 1gr.
2,2,04-03-2020 15:13:19,Tbilisi,3814ba5701,Hybrid Gagarin. 2g.,True,1,нет,Тбилиси,2 гр,0.0095,5980,2256,201,90.0,,,,,,,,,Hybrid Gagarin. 2g.
3,3,04-03-2020 15:13:19,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0293,18485,7023,618,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
4,4,04-03-2020 15:13:19,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,3,нет,Тбилиси,4 гр,0.006,3987,1504,134,60.0,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
5,5,04-03-2020 15:13:19,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0468,29575,11236,988,,400.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
6,6,04-03-2020 15:13:19,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0065,4319,1630,145,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
7,7,04-03-2020 15:13:19,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.04,24252,9151,815,365.0,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
8,8,04-03-2020 15:13:19,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0099,6578,2482,221,99.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
9,9,04-03-2020 15:13:19,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0421,26577,10028,894,400.0,,,,,,,,,gashish evro 10g
10,10,04-03-2020 15:13:19,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,1,нет,Тбилиси,20 гр,0.0473,29900,11282,1005,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
11,11,04-03-2020 15:13:19,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0817,51627,19479,1736,777.0,,,,,,,,,Gashish Evro 20gr
12,12,04-03-2020 15:13:19,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,3,Тбилиси,0.27 гр,0.0299,17940,6769,603,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
13,13,04-03-2020 15:13:19,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0332,19933,7521,670,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
14,14,04-03-2020 15:13:19,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.07200000000000001,43188,16296,1452,650.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
15,15,04-03-2020 15:13:19,Tbilisi,adf2d19b92,Subotex B8 Francce,True,нет,5,Тбилиси,1.4 гр,0.0279,18604,7020,626,280.0,,,,,,,,,Subotex B8 Francce
16,16,04-03-2020 15:13:19,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0183,11096,4187,373,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
17,17,04-03-2020 15:13:19,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0181,12200,4635,408,,165.0,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
18,18,04-03-2020 15:13:19,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0653,39202,14791,1318,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
