,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,04-03-2020 20:02:53,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0109,6542,2469,221,99.0,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
1,1,04-03-2020 20:02:53,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0055,3304,1247,112,50.0,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
2,2,04-03-2020 20:02:53,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0105,6636,2500,224,,90.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
3,3,04-03-2020 20:02:53,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0088,5286,1995,179,80.0,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
4,4,04-03-2020 20:02:53,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0164,9912,3741,335,150.0,,,,,,,,ALFA PVP 1g
5,5,04-03-2020 20:02:53,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0194,12225,4614,414,185.0,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,6,04-03-2020 20:02:53,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0205,12489,4714,422,189.0,,,,,,,,Kokain HQ 1g.
7,7,04-03-2020 20:02:53,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0895,59471,22446,2012,900.0,,,,,,,,Metadon 1gr
8,8,04-03-2020 20:02:53,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0602,40000,18406,1347,,,,,,,,,reagent 25i nbome. 1gr.
9,9,04-03-2020 20:02:53,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,2 гр,0.0098,5947,2245,201,90.0,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
