,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,04-03-2020 23:06:51,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.011,6542,2469,221,99,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
1,04-03-2020 23:06:51,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0055,3304,1247,112,50,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
2,04-03-2020 23:06:51,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0195,12225,4614,414,185,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
3,04-03-2020 23:06:51,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука,,1,нет,Тбилиси,1 гр,0.0025,1652,624,56,25,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka
4,04-03-2020 23:06:51,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0205,12489,4714,422,189,,,,,,,,Kokain HQ 1g.
5,04-03-2020 23:06:51,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0897,59471,22446,2012,900,,,,,,,,Metadon 1gr
6,04-03-2020 23:06:51,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0603,40000,18406,1347,,,,,,,,,reagent 25i nbome. 1gr.
7,04-03-2020 23:06:51,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0132,7929,2993,268,120,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
8,04-03-2020 23:06:51,Tbilisi,0WE,Khachapuri,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,2 гр,0.0158,9912,3741,335,150,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
9,04-03-2020 23:06:51,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0199,12535,4723,423,,,170,,,,,,2 gr mdma (skidka v bitkoin 5%)
10,04-03-2020 23:06:51,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0399,25044,9452,847,379,,,,,,,,Kokain HQ 2g.
11,04-03-2020 23:06:51,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0293,18434,6945,622,,,250,,,,,,3 gr mdma (skidka v bitkoin 5%)
12,04-03-2020 23:06:51,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.011,6542,2469,221,99,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
13,04-03-2020 23:06:51,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,1,нет,Тбилиси,4 гр,0.006,3965,1496,134,60,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
14,04-03-2020 23:06:51,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0319,21145,7981,715,320,,,,,,,,"5 Grm MDMA , Purity A +++"
15,04-03-2020 23:06:51,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0469,29495,11112,995,,,400,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,04-03-2020 23:06:51,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,6,нет,Тбилиси,5 гр,0.0163,9912,3741,335,150,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
17,04-03-2020 23:06:51,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.04,24119,9103,816,365,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
