,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Nadzaladevi,Vake,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,04-04-2020 10:26:09,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,4,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,04-04-2020 10:26:09,Tbilisi,54915c4374,MDMA 0.210 грам.,True,1,нет,Тбилиси,0.21 гр,0.0045,2721,968,90,35.0,,,,,,,,,,,MDMA 0.210 gram.
2,2,04-04-2020 10:26:09,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,4,нет,Тбилиси,0.25 гр,0.0243,13215,4701,439,170.0,True,,,,,,,,,,"Metadon VHQ 0,25"
3,3,04-04-2020 10:26:09,Tbilisi,dd631c4acf,.✨0.50 gram. MDMA✨.,,1,нет,Тбилиси,0.5 гр,0.01,5364,1908,178,69.0,,True,,,,,,,,,.✨0.50 gram. MDMA✨.
4,4,04-04-2020 10:26:09,Tbilisi,83f3d55917,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,6,нет,Тбилиси,0.5 гр,0.0041,2332,830,78,30.0,,True,True,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
5,5,04-04-2020 10:26:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0136,7696,2737,256,99.0,,True,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,04-04-2020 10:26:09,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,3,нет,Тбилиси,0.5 гр,0.0429,23320,8295,775,300.0,,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
7,7,04-04-2020 10:26:09,Tbilisi,99accec7c7,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ,True,1,нет,Тбилиси,0.5 гр,0.05,27206,9678,905,350.0,,,,,,,,,,,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ
8,8,04-04-2020 10:26:09,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0164,9328,3318,310,120.0,,True,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,04-04-2020 10:26:09,Tbilisi,8a650ecf5f,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0471,25652,9125,853,330.0,,True,,,,,,,,,"Metadon VHQ 0,5"
10,10,04-04-2020 10:26:09,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0157,8473,3014,282,109.0,,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
11,11,04-04-2020 10:26:09,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,1,нет,Тбилиси,0.65 гр,0.0117,6996,2489,233,90.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
12,12,04-04-2020 10:26:09,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,10,нет,Тбилиси,1 гр,0.0078,4664,1659,155,60.0,,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
13,13,04-04-2020 10:26:09,Tbilisi,f25c0d6c5c,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0257,14000,6442,470,,,True,,,,,,,,,1 a-pvp white
