,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Didube,Vake,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,04-04-2020 15:05:22,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,3,нет,Тбилиси,0.2 гр,0.0045,2721,968,90,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,04-04-2020 15:05:22,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,,1,нет,Тбилиси,0.3 гр,0.0108,6000,2761,201,,True,,,,,,,,,0.3 a-pvp white
2,04-04-2020 15:05:22,Tbilisi,9VLN,AlienShop,.✨0.50 gram. MDMA✨.,,1,нет,Тбилиси,0.5 гр,0.0098,5364,1908,178,69,True,,,,,,,,,.✨0.50 gram. MDMA✨.
3,04-04-2020 15:05:22,Tbilisi,H9FHF,OldStar,0.5 a-pvp white,,1,нет,Тбилиси,0.5 гр,0.0145,8000,3681,269,,True,,,,,,,,,0.5 a-pvp white
4,04-04-2020 15:05:22,Tbilisi,LGRP8,Walker12,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,3,нет,Тбилиси,0.5 гр,0.004,2332,830,78,30,True,,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
5,04-04-2020 15:05:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0134,7696,2737,256,99,True,,,,,,,,,Cocaine Pure VHQ 0.5g
6,04-04-2020 15:05:22,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,2,нет,Тбилиси,0.5 гр,0.0422,23320,8295,775,300,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
7,04-04-2020 15:05:22,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0162,9328,3318,310,120,True,,,,,,,,,Pure COCAINE VHQ 0.5g
8,04-04-2020 15:05:22,Tbilisi,TI21,Campaari,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0464,25652,9125,853,330,True,,,,,,,,,"Metadon VHQ 0,5"
9,04-04-2020 15:05:22,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0155,8473,3014,282,109,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
