,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,04-04-2020 19:49:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,True,3,нет,Тбилиси,0.2 гр,0.0046,2721,968,90,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,04-04-2020 19:49:37,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,,1,нет,Тбилиси,0.25 гр,0.0243,13215,4701,439,170.0,True,,,,,,,,,"Metadon VHQ 0,25"
2,2,04-04-2020 19:49:37,Tbilisi,54915c4374,MDMA 0.380 грам.,,True,4,нет,Тбилиси,0.38 гр,0.0072,4275,1521,142,55.0,,True,,,,,,,,MDMA 0.380 gram.
3,3,04-04-2020 19:49:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0136,7696,2737,256,99.0,,True,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,04-04-2020 19:49:37,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,,1,нет,Тбилиси,0.5 гр,0.0429,23320,8295,775,300.0,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
5,5,04-04-2020 19:49:37,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,,3,нет,Тбилиси,0.5 гр,0.0165,9328,3318,310,120.0,,True,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,04-04-2020 19:49:37,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,,2,нет,Тбилиси,0.5 гр,0.0158,8473,3014,282,109.0,,True,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
7,7,04-04-2020 19:49:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,,2,нет,Тбилиси,0.65 гр,0.0117,6996,2489,233,90.0,True,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
8,8,04-04-2020 19:49:37,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,,4,нет,Тбилиси,1 гр,0.0072,3887,1383,129,50.0,,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,04-04-2020 19:49:37,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,,1,нет,Тбилиси,1 гр,0.0054,2954,1051,98,38.0,,True,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,04-04-2020 19:49:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,,3,нет,Тбилиси,1 гр,0.026000000000000002,14691,5226,488,189.0,,True,,,,,,,,Cocaine Pure VHQ 1g
11,11,04-04-2020 19:49:37,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,,5,нет,Тбилиси,1 гр,0.0858,46640,16590,1551,600.0,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,12,04-04-2020 19:49:37,Tbilisi,54915c4374,MDMA 1 гр,,,3,2,Тбилиси,1 гр,0.0143,8574,2986,279,,,True,True,100.0,,,,,,MDMA 1 gr
13,13,04-04-2020 19:49:37,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,,5,нет,Тбилиси,1 гр,0.1002,54413,19355,1809,700.0,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,14,04-04-2020 19:49:37,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,,4,нет,Тбилиси,1 гр,0.0281,15935,5668,530,205.0,,True,,,,,,,,VHQ BEST Cocaine 1g.
15,15,04-04-2020 19:49:37,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,,4,нет,Тбилиси,1 гр,0.0145,7851,2793,261,101.0,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
16,16,04-04-2020 19:49:37,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,,1,нет,Тбилиси,1 гр,0.0268,14691,5226,488,189.0,,True,,,,,,,,Kokain HQ 1g.
17,17,04-04-2020 19:49:37,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,,2,нет,Тбилиси,1 гр,0.0256,13914,4949,463,179.0,,,True,,,,,,,Kokain KOLUMBIA 1g
18,18,04-04-2020 19:49:37,Tbilisi,61df6a1c90,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.1171,69959,24885,2326,900.0,,True,,,,,,,,Metadon 1gr
19,19,04-04-2020 19:49:37,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,,1,нет,Тбилиси,1 гр,0.0158,8473,3014,282,109.0,,True,,,,,,,,✨ 1g. MDMA ✨
20,20,04-04-2020 19:49:37,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,,3,нет,Тбилиси,2 гр,0.0107,5830,2074,194,75.0,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,21,04-04-2020 19:49:37,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,,7,нет,Тбилиси,2 гр,0.0099,5364,1908,178,69.0,,True,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
