,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Saburtalo,Vazisubani,Zahesi,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,04-07-2020 08:11:44,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0115,7843,3029,270,99.0,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,04-07-2020 08:11:44,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7050,2735,242,,True,100.0,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,04-07-2020 08:11:44,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,1,нет,Тбилиси,0.5 гр,0.0035,2327,903,80,,True,33.0,,,,,,,,,,,0.5 gr HYBRID buds
3,3,04-07-2020 08:11:44,Tbilisi,16a8841259,0.5г Ak - 47,,8,нет,Тбилиси,0.5 гр,0.0034,2256,875,77,,True,32.0,,,,,,,,,,,0.5g Ak - 47
4,4,04-07-2020 08:11:44,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,,3,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,,True,31.0,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
5,5,04-07-2020 08:11:44,Tbilisi,16a8841259,0.5г Jamaican,,12,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,,True,31.0,,,,,,,,,,,0.5g Jamaican
6,6,04-07-2020 08:11:44,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,2,нет,Тбилиси,0.5 гр,0.0148,9870,3829,339,,True,140.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
7,7,04-07-2020 08:11:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 0.5гр",,1,нет,Тбилиси,0.5 гр,0.0029,2115,821,73,,,30.0,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 0.5gr"
8,8,04-07-2020 08:11:44,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,1,нет,Тбилиси,0.5 гр,0.0034,2256,875,77,,,32.0,,True,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
9,9,04-07-2020 08:11:44,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,,11,нет,Тбилиси,0.5 гр,0.0058,3878,1504,133,,True,55.0,,,True,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
