,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,04-07-2020 13:15:53,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0115,7843,3029,270,99,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,04-07-2020 13:15:53,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0105,7050,2735,242,,True,100,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,04-07-2020 13:15:53,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,,8,нет,Тбилиси,0.5 гр,0.0034,2256,875,77,,True,32,,,,,,,,,,,0.5g Ak - 47
3,04-07-2020 13:15:53,Tbilisi,9Y6T,WeedShop,0.5г Ayahuasca Purple 100% Indica,,1,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,,True,31,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
4,04-07-2020 13:15:53,Tbilisi,9Y6T,WeedShop,0.5г Jamaican,,11,нет,Тбилиси,0.5 гр,0.0033,2186,848,75,,True,31,,,,,,,,,,,0.5g Jamaican
5,04-07-2020 13:15:53,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,1,нет,Тбилиси,0.5 гр,0.0147,9870,3829,339,,True,140,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
6,04-07-2020 13:15:53,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,10,нет,Тбилиси,0.5 гр,0.0032,2115,821,73,,True,30,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
7,04-07-2020 13:15:53,Tbilisi,6P9R,RickNMorty,VHQ Hash From Morroco Iso 0.5G THC 23%+,,11,нет,Тбилиси,0.5 гр,0.0047,3173,1231,109,,True,45,,True,,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
8,04-07-2020 13:15:53,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,6,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,04-07-2020 13:15:53,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,04-07-2020 13:15:53,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,3,нет,Тбилиси,1 гр,0.0058,3878,1504,133,,True,55,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
11,04-07-2020 13:15:53,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,,4,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,True,59,,,,,,,,,,,1 gr super lemon haze probnik
12,04-07-2020 13:15:53,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59,,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
13,04-07-2020 13:15:53,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,04-07-2020 13:15:53,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59,,,,True,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
15,04-07-2020 13:15:53,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59,,,,,True,True,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
16,04-07-2020 13:15:53,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,3,нет,Тбилиси,1 гр,0.0053,3525,1368,121,,True,50,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
17,04-07-2020 13:15:53,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,8,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,,60,,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,04-07-2020 13:15:53,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",True,3,нет,Тбилиси,1 гр,0.0053,3878,1504,133,,,55,,,,,,True,,,,,"Hindu Kush (photoperiod, regular) 1gr"
19,04-07-2020 13:15:53,Tbilisi,9Y6T,WeedShop,Jamaican 1г High Thc,,2,нет,Тбилиси,1 гр,0.0061,4089,1586,140,,True,58,,,,,,,,,,,Jamaican 1g High Thc
20,04-07-2020 13:15:53,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,2,нет,Тбилиси,1 гр,0.0053,3878,1504,133,,True,55,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
