,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
0,04-08-2020 07:37:52,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0026,2151,811,71,29,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
1,04-08-2020 07:37:52,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,5,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31,,,,,,,,,,,0.5 Gram Skunk HQ
2,04-08-2020 07:37:52,Tbilisi,9Y6T,WeedShop,0.5 Grm Northen Light,True,1,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31,,,,,,,,,,,0.5 Grm Northen Light
3,04-08-2020 07:37:52,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0029,2447,922,81,33,,,,,,,,,,,0.5 gr HYBRID buds
4,04-08-2020 07:37:52,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,9,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,True,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,04-08-2020 07:37:52,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,7,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,04-08-2020 07:37:52,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,2,нет,Тбилиси,0.5 гр,0.0025,2076,783,69,28,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,04-08-2020 07:37:52,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.003,2521,950,83,34,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
8,04-08-2020 07:37:52,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0027,2225,839,73,30,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,04-08-2020 07:37:52,Tbilisi,9R7SU,ClownBaroN,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,3,нет,Тбилиси,1 гр,0.005,4153,1565,137,56,True,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
10,04-08-2020 07:37:52,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
11,04-08-2020 07:37:52,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0053,4450,1677,147,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
12,04-08-2020 07:37:52,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4450,1677,147,60,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
13,04-08-2020 07:37:52,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59,,,,,,,,,,,1 gr super lemon haze probnik
