,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
0,0,04-08-2020 16:19:34,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31.0,,,,,,,,,,,,0.5 Gram Skunk HQ
1,1,04-08-2020 16:19:34,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,3,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32.0,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
2,2,04-08-2020 16:19:34,Tbilisi,16a8841259,0.5 Grm Northen Light,True,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31.0,,,,,,,,,,,,0.5 Grm Northen Light
3,3,04-08-2020 16:19:34,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,8,нет,Тбилиси,0.5 гр,0.0029,2422,922,81,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
4,4,04-08-2020 16:19:34,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,7,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32.0,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,5,04-08-2020 16:19:34,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,6,нет,Тбилиси,0.5 гр,0.0028,2348,894,78,32.0,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,6,04-08-2020 16:19:34,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,23,нет,Тбилиси,0.5 гр,0.0025,2055,783,69,28.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,7,04-08-2020 16:19:34,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0027,2275,866,76,31.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
8,8,04-08-2020 16:19:34,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.003,2495,950,83,34.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,9,04-08-2020 16:19:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2201,839,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10,04-08-2020 16:19:34,Tbilisi,e771f4c371,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,3,нет,Тбилиси,1 гр,0.0049,4109,1565,137,56.0,True,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
