,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-02-2020 11:55:30,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0124,8246,3250,279,130,,,,,,,,,,,Metadon 0.15gr
1,05-02-2020 11:55:30,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0172,11418,4500,387,180,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,05-02-2020 11:55:30,Tbilisi,72B,CHINATOWN,"NZT-52 mind storm limited 0,3г мука",True,7,нет,Тбилиси,0.3 гр,0.0067,4440,1750,150,70,,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
3,05-02-2020 11:55:30,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,7,нет,Тбилиси,0.5 гр,0.0063,3743,1475,127,59,,,,,,,,,,,0.5 g. Ketamine
4,05-02-2020 11:55:30,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0117,6978,2750,236,110,,,,,,,,,,,"Cocaine, 0.5 g"
5,05-02-2020 11:55:30,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,4,нет,Тбилиси,0.5 гр,0.0108,6661,2625,226,105,,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
6,05-02-2020 11:55:30,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin,True,10,нет,Тбилиси,0.5 гр,0.004,2537,1000,86,40,,,,,,,,,,,Hashish Ice-o-lator 0.5g Promotion -5% for Bitcoin
7,05-02-2020 11:55:30,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0064,3806,1500,129,60,,,,,,,,,,,Ketamine 0.5g
8,05-02-2020 11:55:30,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 0.5g BTC SALE 5%,True,2,нет,Тбилиси,0.5 гр,0.0049,3045,1200,103,48,,,,,,,,,,,MDMA from Europe!!! 0.5g BTC SALE 5%
9,05-02-2020 11:55:30,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0286,19030,7500,644,300,,,,,,,,,,,Metadon VHQ 0.5 24/7
10,05-02-2020 11:55:30,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,3,нет,Тбилиси,0.5 гр,0.0105,6280,2475,213,99,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,05-02-2020 11:55:30,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0104,6914,2725,234,109,,,,,,,,,,,Pure COCAINE VHQ 0.5g
12,05-02-2020 11:55:30,Tbilisi,9VLN,AlienShop,❄❄❄0.5g HQ COCAINE❄❄❄,True,3,нет,Тбилиси,0.5 гр,0.0105,6280,2475,213,99,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
13,05-02-2020 11:55:30,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,19,нет,Тбилиси,0.8 гр,0.0126,7612,3000,258,120,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,05-02-2020 11:55:30,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,1 гр,0.0043,2855,1125,97,45,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,05-02-2020 11:55:30,Tbilisi,0WE,Khachapuri,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0072,4758,1875,161,75,,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
16,05-02-2020 11:55:30,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,5,нет,Тбилиси,1 гр,0.004,2474,975,84,39,True,,,,,,,,,,1G -- AK-47 -> Sativa
17,05-02-2020 11:55:30,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0095,5961,2346,202,,,85,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
18,05-02-2020 11:55:30,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.021,12560,4950,425,198,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
19,05-02-2020 11:55:30,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0126,7612,3000,258,120,,,,,,,,,,,Apvp VHQ 1g 24/7
20,05-02-2020 11:55:30,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,14,нет,Тбилиси,1 гр,0.0233,13956,5500,473,220,,,,,,,,,,,"Cocaine, 1g"
21,05-02-2020 11:55:30,Tbilisi,Z5UFK,Vein,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0114,6914,2725,234,109,,,,,,,,,,,Crystal Mephedrone 1g
22,05-02-2020 11:55:30,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,5,нет,Тбилиси,1 гр,0.0069,4558,1794,154,,,65,,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
23,05-02-2020 11:55:30,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,10,нет,Тбилиси,1 гр,0.0106,6343,2500,215,100,,,,,,,,,,,Ketamine 1g
24,05-02-2020 11:55:30,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,5,нет,Тбилиси,1 гр,0.0094,5646,2225,191,89,,,,,,,,,,,Ketamine 1g.
25,05-02-2020 11:55:30,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.0g BTC SALE 5%,True,8,нет,Тбилиси,1 гр,0.0098,6026,2375,204,95,,,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
26,05-02-2020 11:55:30,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0477,31717,12500,1074,500,,,,,,,,,,,Metadon VHQ 1 24/7
27,05-02-2020 11:55:30,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.019,11355,4475,385,179,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
28,05-02-2020 11:55:30,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,8,нет,Тбилиси,1 гр,0.0134,8881,3500,301,140,,,,,,,,,,,NZT-52 mind storm limited 1g muka
29,05-02-2020 11:55:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.019,12623,4975,427,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
30,05-02-2020 11:55:30,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.019,12623,4975,427,199,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
31,05-02-2020 11:55:30,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0197,11989,4725,406,189,,,,,,,,,,,Kokain HQ 1g.
32,05-02-2020 11:55:30,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0209,12623,4975,427,199,,,True,,,,,,,,Kokain KOLUMBIA 1g
33,05-02-2020 11:56:07,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0209,12623,4975,427,199,,,True,,,,,,,,Kokain KOLUMBIA 1g
34,05-02-2020 11:56:07,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0473,28545,11250,967,450,,,,,,,,,,,"Metadon, 1gr"
35,05-02-2020 11:56:07,Tbilisi,JPY,OaksShopp,мощный гибрид /hybrid weed 1g strong,,9,нет,Тбилиси,1 гр,0.0033,2220,875,75,35,True,,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
36,05-02-2020 11:56:07,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.3g,True,4,нет,Тбилиси,1.3 гр,0.0578,34889,13750,1181,550,,,,,,,,,,,Methadone HQ in city 1.3g
37,05-02-2020 11:56:07,Tbilisi,0WE,Khachapuri,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0078,4909,1932,166,,,70,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
38,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0382,22836,9000,773,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
39,05-02-2020 11:56:07,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,2,нет,Тбилиси,2 гр,0.0396,24422,9625,827,385,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
40,05-02-2020 11:56:07,Tbilisi,Z9UT,Rainbow,Hybrid Marijuana High Quality 2G,True,1,нет,Тбилиси,2 гр,0.0084,5075,2000,172,80,,,,,,,,,,,Hybrid Marijuana High Quality 2G
41,05-02-2020 11:56:07,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0191,11418,4500,387,180,,,,,,,,,,,Ketamine 2 g
42,05-02-2020 11:56:07,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,4,нет,Тбилиси,2 гр,0.0074,4440,1750,150,70,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
43,05-02-2020 11:56:07,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0229,15224,6000,516,240,,,,,,,,,,,NZT-52 mind storm limited 2g muka
44,05-02-2020 11:56:07,Tbilisi,V4T,COCAcoLA,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,3,нет,Тбилиси,2 гр,0.0112,6914,2725,234,109,,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
45,05-02-2020 11:56:07,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0382,24042,9475,814,379,,,,,,,,,,,Kokain HQ 2g.
46,05-02-2020 11:56:07,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0382,22836,9000,773,360,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
47,05-02-2020 11:56:07,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0352,21250,8375,720,335,,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
48,05-02-2020 11:56:07,Tbilisi,9Y6T,MrKind,HQ сатива 2.3г,,2,нет,Тбилиси,2.3 гр,0.0058,3489,1375,118,55,,,,True,,,,,,,HQ sativa 2.3g
49,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,3 гр,0.0105,6280,2475,213,99,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
50,05-02-2020 11:56:07,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 280mg,True,2,нет,Тбилиси,3 гр,0.0111,6661,2625,226,105,,,,,,,,,,,3x Extasy Duracell 280mg
51,05-02-2020 11:56:07,Tbilisi,9VLN,AlienShop,3г. SPEED Амфетамин стимулятор,True,2,нет,Тбилиси,3 гр,0.0105,6280,2475,213,99,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
52,05-02-2020 11:56:07,Tbilisi,V4T,COCAcoLA,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.017,10467,4125,354,165,True,,,,,,,,,,GASHISH 3 gr luchshaja tsena
53,05-02-2020 11:56:07,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g,,3,нет,Тбилиси,3 гр,0.0036,2157,850,73,34,,,,,True,,,,,,Marijuana Super Skunk leaves 3g
54,05-02-2020 11:56:07,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0344,22836,9000,773,360,,,,,,,,,,,NZT-52 mind storm limited 3g muka
55,05-02-2020 11:56:07,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0105,6280,2475,213,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
56,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0169,10086,3975,342,159,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
57,05-02-2020 11:56:07,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0812,53919,21250,1826,850,,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
58,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0902,53919,21250,1826,850,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
59,05-02-2020 11:56:07,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.0159,9515,3750,322,150,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
60,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0169,10086,3975,342,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
61,05-02-2020 11:56:07,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0163,9769,3850,331,154,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
62,05-02-2020 11:56:07,Tbilisi,0V3X,arinaneb,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0167,11101,4375,376,175,True,,,,,,,,,,gorilla glue 5 g
63,05-02-2020 11:56:07,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0212,13321,5250,451,210,,,,,,,,,,,gashish evro 5g
64,05-02-2020 11:56:07,Tbilisi,9VLN,AlienShop,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0967,57789,22775,1957,911,,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
65,05-02-2020 11:56:07,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0419,25310,9975,857,399,True,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
66,05-02-2020 11:56:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,11,нет,Тбилиси,10 гр,0.028,16937,6675,574,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
67,05-02-2020 11:56:07,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0239,15859,6250,537,250,True,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
68,05-02-2020 11:56:07,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0403,25374,10000,859,400,,,,,,,,,,,gashish evro 10g
69,05-02-2020 11:56:35,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,24,нет,Тбилиси,10 гр,0.0095,6343,2500,215,100,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
70,05-02-2020 11:56:35,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -30 %,True,3,нет,Тбилиси,11 гр,0.1232,105190,41400,3562,,,1500,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
