,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-03-2020 04:44:45,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0054,3304,1247,112,50,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
1,05-03-2020 04:44:45,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.0086,5286,1995,178,80,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,7,нет,Тбилиси,1 гр,0.0191,12225,4614,413,185,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
3,05-03-2020 04:44:45,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0202,12489,4714,422,189,,,,,,,,Kokain HQ 1g.
4,05-03-2020 04:44:45,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0882,59471,22446,2008,900,,,,,,,,Metadon 1gr
5,05-03-2020 04:44:45,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0593,40000,18406,1352,,,,,,,,,reagent 25i nbome. 1gr.
6,05-03-2020 04:44:45,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0129,7929,2993,268,120,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,05-03-2020 04:44:45,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0097,5947,2245,201,90,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,2 гр,0.0155,9912,3741,335,150,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
9,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0196,12535,4723,423,,170,,,,,,,2 gr mdma (skidka v bitkoin 5%)
10,05-03-2020 04:44:45,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0392,25044,9452,846,379,,,,,,,,Kokain HQ 2g.
11,05-03-2020 04:44:45,Tbilisi,JVZTQ,partyshop,3 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,3 гр,0.0129,7929,2993,268,120,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
12,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,3,нет,Тбилиси,3 гр,0.0115,7374,2778,249,,100,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
13,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0288,18434,6945,622,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
14,05-03-2020 04:44:45,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,1,нет,Тбилиси,4 гр,0.0059,3965,1496,134,60,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
15,05-03-2020 04:44:45,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0314,21145,7981,714,320,,,,,,,,"5 Grm MDMA , Purity A +++"
16,05-03-2020 04:44:45,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0462,29495,11112,996,,400,,,,,,,5 gr mdma (skidka v bitkoin 5%)
