,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-03-2020 08:11:02,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0054,3304,1247,112,50.0,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
1,1,05-03-2020 08:11:02,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,5,нет,Тбилиси,1 гр,0.0086,5286,1995,178,80.0,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,2,05-03-2020 08:11:02,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0161,9912,3741,335,150.0,,,,,,,,,ALFA PVP 1g
3,3,05-03-2020 08:11:02,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,7,нет,Тбилиси,1 гр,0.0191,12225,4614,413,185.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
4,4,05-03-2020 08:11:02,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0201,12489,4714,422,189.0,,,,,,,,,Kokain HQ 1g.
5,5,05-03-2020 08:11:02,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0878,59471,22446,2008,900.0,,,,,,,,,Metadon 1gr
6,6,05-03-2020 08:11:02,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0591,40000,18406,1352,,,,,,,,,,reagent 25i nbome. 1gr.
7,7,05-03-2020 08:11:02,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0129,7929,2993,268,120.0,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
8,8,05-03-2020 08:11:02,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0097,5947,2245,201,90.0,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,05-03-2020 08:11:02,Tbilisi,7ee4f68218,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,2,нет,Тбилиси,2 гр,0.0154,9912,3741,335,150.0,,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
10,10,05-03-2020 08:11:02,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0195,12535,4723,423,,170.0,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
11,11,05-03-2020 08:11:02,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,3,нет,Тбилиси,2 гр,0.0021,1454,549,49,22.0,,True,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
