,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-03-2020 13:24:13,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0054,3304,1244,112,50.0,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
1,1,05-03-2020 13:24:13,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0086,5286,1990,178,80.0,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,2,05-03-2020 13:24:13,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,6,нет,Тбилиси,1 гр,0.019,12225,4603,413,185.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
3,3,05-03-2020 13:24:13,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0876,59471,22392,2008,900.0,,,,,,,,,Metadon 1gr
4,4,05-03-2020 13:24:13,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0589,40000,18406,1352,,,,,,,,,,reagent 25i nbome. 1gr.
5,5,05-03-2020 13:24:13,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0128,7929,2986,268,120.0,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,05-03-2020 13:24:13,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0096,5947,2239,201,90.0,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,7,05-03-2020 13:24:13,Tbilisi,7ee4f68218,2 g Ketamine / 2 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,2 гр,0.0154,9912,3732,335,150.0,,,,,,,,,2 g Ketamine / 2 gr Ketamin (skidka v bitkoin)
8,8,05-03-2020 13:24:13,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0195,12535,4711,423,,170.0,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
9,9,05-03-2020 13:24:13,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,3,нет,Тбилиси,2 гр,0.0034,2313,871,78,35.0,,True,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
10,10,05-03-2020 13:24:13,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0389,25044,9430,846,379.0,,,,,,,,,Kokain HQ 2g.
11,11,05-03-2020 13:24:13,Tbilisi,7ee4f68218,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,3,нет,Тбилиси,3 гр,0.0115,7374,2771,249,,100.0,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
