,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-03-2020 22:05:57,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,8,нет,Тбилиси,0.5 гр,0.0093,6552,2457,221,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,05-03-2020 22:05:57,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,9,нет,Тбилиси,1 гр,0.0052,3309,1241,112,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
2,05-03-2020 22:05:57,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0052,3309,1241,112,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
3,05-03-2020 22:05:57,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0179,12575,4716,424,190,,,,,,,,,,,Cocaine Pure VHQ 1g
4,05-03-2020 22:05:57,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,3,нет,Тбилиси,1 гр,0.0186,11847,4443,399,179,True,,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
5,05-03-2020 22:05:57,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0184,12244,4592,413,185,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,05-03-2020 22:05:57,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0186,11847,4443,399,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
7,05-03-2020 22:05:57,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0848,59567,22338,2008,900,,,,,,,,,,,Metadon 1gr
8,05-03-2020 22:05:57,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,5,нет,Тбилиси,1 гр,0.0019,1324,496,45,20,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
9,05-03-2020 22:05:57,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,2 гр,0.0093,5957,2234,201,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,05-03-2020 22:05:57,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,2 гр,0.0188,12526,4723,423,,,,170,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
11,05-03-2020 22:05:57,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0033,2316,869,78,35,,True,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
12,05-03-2020 22:05:57,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0377,25084,9407,846,379,,,,,,,,,,,Kokain HQ 2g.
13,05-03-2020 22:05:57,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0377,23827,8935,803,360,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
14,05-03-2020 22:05:57,Tbilisi,0WE,Khachapuri,"3 ecstasy 💊""PARTY ROCK""💊 300 mg",True,3,нет,Тбилиси,3 гр,0.0111,7368,2778,249,,,,100,,,,,,,,"3 ecstasy 💊""PARTY ROCK""💊 300 mg"
15,05-03-2020 22:05:57,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0277,18421,6945,622,,,,250,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
16,05-03-2020 22:05:57,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,3,нет,Тбилиси,3 гр,0.012,7611,2854,257,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
17,05-03-2020 22:05:57,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,1,нет,Тбилиси,4 гр,0.0057,3971,1489,134,60,,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
18,05-03-2020 22:05:57,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0301,21179,7942,714,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,05-03-2020 22:05:57,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0443,29474,11112,996,,,,400,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
20,05-03-2020 22:05:57,Tbilisi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Тбилиси,5 гр,0.0259,16546,6205,558,250,,,,True,,,,,,,Super Critical HIGHEST QUALITY 5G
