,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Old Tbilisi (Старый город),Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
0,0,05-05-2020 03:21:05,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,1,нет,Тбилиси,0.3 гр,0.0088,2761,195,6000,,,,,,,,,,,,,,0.3 a-pvp white
1,1,05-05-2020 03:21:05,Tbilisi,8ddca45a78,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",,2,нет,Тбилиси,0.5 гр,0.003,760,69,2036,True,28.0,,,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
2,2,05-05-2020 03:21:05,Tbilisi,8ddca45a78,"0,5g WHITE WIDOW (Hybrid, more sativa)",,2,нет,Тбилиси,0.5 гр,0.003,760,69,2036,True,28.0,,,,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
3,3,05-05-2020 03:21:05,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,0.5 гр,0.0037,950,86,2545,,35.0,True,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,05-05-2020 03:21:05,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,0.5 гр,0.0036,923,83,2473,,34.0,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
5,5,05-05-2020 03:21:05,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0144,3665,331,9818,,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,05-05-2020 03:21:05,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0059,1493,135,4000,,55.0,,True,,,,,,,,,,HQ Euro Hashish 0.5 g
7,7,05-05-2020 03:21:05,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0147,3801,344,10182,,140.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,05-05-2020 03:21:05,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0028,787,71,2109,,29.0,,,True,True,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
9,9,05-05-2020 03:21:05,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
10,10,05-05-2020 03:21:05,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,8,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,11,05-05-2020 03:21:05,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.0061,1548,140,4145,,57.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,05-05-2020 03:21:05,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0061,1548,140,4145,,57.0,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,05-05-2020 03:21:05,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,6,нет,Тбилиси,1 гр,0.0059,1493,135,4000,,55.0,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
14,14,05-05-2020 03:21:05,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,10,нет,Тбилиси,1 гр,0.0321,8118,734,21745,,299.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
15,15,05-05-2020 03:21:05,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,1 гр,0.0051,1303,118,3491,,48.0,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
16,16,05-05-2020 03:21:05,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,6,нет,Тбилиси,1 гр,0.0051,1303,118,3491,,48.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
17,17,05-05-2020 03:21:05,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0051,1303,118,3491,,48.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
18,18,05-05-2020 03:21:05,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,3,нет,Тбилиси,1 гр,0.004,1113,101,2982,,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
19,19,05-05-2020 03:21:05,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",,2,нет,Тбилиси,1 гр,0.0047,1330,120,3564,True,49.0,,,True,,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
20,20,05-05-2020 03:21:05,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,13,нет,Тбилиси,1 гр,0.0044,1113,101,2982,,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
21,21,05-05-2020 03:21:05,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0871,24435,2209,65454,,900.0,,,,,,,,,,,,Metadon 1gr
22,22,05-05-2020 03:21:05,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,10,нет,Тбилиси,1.5 гр,0.0068,1901,172,5091,True,70.0,,,True,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
23,23,05-05-2020 03:21:05,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0096,2416,218,6473,,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
24,24,05-05-2020 03:21:05,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,2 гр,0.0106,2715,245,7273,,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
25,25,05-05-2020 03:21:05,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0096,2416,218,6473,,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
26,26,05-05-2020 03:21:05,Tbilisi,4659482266,2g super Skunk top class buds.,,3,нет,Тбилиси,2 гр,0.0091,2308,209,6182,,85.0,,,,,,True,,,,,,2g super Skunk top class buds.
27,27,05-05-2020 03:21:05,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0075,1901,172,5091,,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,28,05-05-2020 03:21:05,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,19,нет,Тбилиси,2 гр,0.0095,2416,218,6473,,89.0,,,True,,,,True,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
29,29,05-05-2020 03:21:05,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0506,13032,1178,34909,,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
30,30,05-05-2020 03:21:05,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.009000000000000001,2308,209,6182,True,85.0,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
31,31,05-05-2020 03:21:05,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0128,3231,292,8654,,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
32,32,05-05-2020 03:21:05,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,9,нет,Тбилиси,3 гр,0.0138,3530,319,9454,,130.0,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
33,33,05-05-2020 03:21:05,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0128,3231,292,8654,,119.0,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
34,34,05-05-2020 03:21:05,Tbilisi,4659482266,3g superskunk top class buds.,,2,нет,Тбилиси,3 гр,0.0128,3231,292,8654,,119.0,,,,,,True,,,,,,3g superskunk top class buds.
35,35,05-05-2020 03:21:05,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0113,2851,258,7636,,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
36,36,05-05-2020 03:21:40,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0315,8145,736,21818,,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,05-05-2020 03:21:40,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0187,4751,430,12727,,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
38,38,05-05-2020 03:21:40,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,1,нет,Тбилиси,5 гр,0.017,4344,393,11636,,160.0,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
