,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Авлобари,Gldani,Varketili,Didube,€,Центр,Батуми,Кутаиси,desc_en
0,05-05-2020 13:36:39,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,0.5 гр,0.0037,2545,950,86,35,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,05-05-2020 13:36:39,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,5,нет,Тбилиси,0.5 гр,0.0143,9818,3665,331,135,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,05-05-2020 13:36:39,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,5,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55,True,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
3,05-05-2020 13:36:39,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,8,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,05-05-2020 13:36:39,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.006,4145,1548,140,57,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,05-05-2020 13:36:39,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.006,4145,1548,140,57,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,05-05-2020 13:36:39,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,6,нет,Тбилиси,1 гр,0.0058,4000,1493,135,55,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
7,05-05-2020 13:36:39,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0319,21745,8118,734,299,True,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,05-05-2020 13:36:39,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",,1,нет,Тбилиси,1 гр,0.0051,3491,1303,118,48,True,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
9,05-05-2020 13:36:39,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",,6,нет,Тбилиси,1 гр,0.0051,3491,1303,118,48,True,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
