,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,05-06-2020 23:34:18,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0169,11695,4553,403,150,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,05-06-2020 23:34:18,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг)!💉⭕⚜,,1,нет,Тбилиси,0.27 гр,0.0077,5147,2010,180,,True,75,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg)!💉⭕⚜
2,05-06-2020 23:34:18,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,17,нет,Тбилиси,0.5 гр,0.0032,2196,858,77,,True,32,True,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,05-06-2020 23:34:18,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,3,нет,Тбилиси,1 гр,0.0306,20521,8013,717,,True,299,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,05-06-2020 23:34:18,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,5,нет,Тбилиси,1 гр,0.0047,3157,1233,110,,True,46,,,,,,,,Amsterdam weed sativa 1gr
5,05-06-2020 23:34:18,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,7,нет,Тбилиси,2 гр,0.0091,6108,2385,213,,True,89,,,,,,,,2 ECSTASY << PACO RABANNE >>
6,05-06-2020 23:34:18,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,6,нет,Тбилиси,3 гр,0.0122,8167,3189,285,,True,119,,,,,,,,3 ECSTASY << PACO RABANNE >>
7,05-06-2020 23:34:18,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0107,7206,2814,252,,True,105,,,,,,,,3x Extasy Duracell 223mg MDMA
8,05-06-2020 23:34:18,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.018,13383,5226,468,,True,195,,,,,,,,4g.marihuana shishki white widow
9,05-06-2020 23:34:18,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0301,20590,8040,719,,True,300,,,,,,,,5 Grm Mdma Pure Quality A +++
10,05-06-2020 23:34:18,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0221,16472,6432,575,,True,240,,,,,,,,5g. marihuana shishki Critical
11,05-06-2020 23:34:18,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0131,8854,3457,309,,True,129,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
12,05-06-2020 23:34:18,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0179,12011,4690,420,,True,175,,,,,,,,5x Extasy Duracell 223mg MDMA.
13,05-06-2020 23:34:18,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1165,78927,30820,2757,,True,1150,,,,,,,,Cocaine Pure VHQ 5g.
14,05-06-2020 23:34:18,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,4,нет,Тбилиси,10 гр,0.0262,17776,6941,621,,True,259,,,,,,,,10 gr georgian weed. Package on magnet
