,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Zahesi,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,0,05-07-2020 19:03:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0031,2045,793,70,29.0,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
1,1,05-07-2020 19:03:01,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.0063,4160,1614,143,59.0,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
2,2,05-07-2020 19:03:01,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,1 гр,0.0064,4230,1641,145,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
3,3,05-07-2020 19:03:01,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,1 гр,0.0063,4160,1614,143,59.0,,True,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,05-07-2020 19:03:01,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0053,3525,1368,121,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
5,5,05-07-2020 19:03:01,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.0064,4230,1641,145,60.0,,True,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
6,6,05-07-2020 19:03:01,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,120.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
7,7,05-07-2020 19:03:01,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,9,нет,Тбилиси,3 гр,0.0059,3878,1504,133,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
8,8,05-07-2020 19:03:01,Tbilisi,f374062dcd,Weed Сорт Purple 3гр,True,2,нет,Тбилиси,3 гр,0.0081,5922,2297,203,84.0,,,,,,,,,,Weed Sort Purple 3gr
9,9,05-07-2020 19:03:01,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,4,нет,Тбилиси,5 гр,0.0074,4865,1887,167,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
10,10,05-07-2020 19:03:01,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,6,нет,Тбилиси,5 гр,0.0144,10504,4075,361,149.0,,,,,,,,,,5g. GEO Marihuana boshki
11,11,05-07-2020 19:03:01,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.028999999999999998,21150,8205,726,300.0,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
12,12,05-07-2020 19:03:01,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,10 гр,0.0254,16849,6537,579,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
13,13,05-07-2020 19:03:01,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,7,нет,Тбилиси,10 гр,0.0138,9094,3528,312,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
14,14,05-07-2020 19:03:01,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0463,31725,12308,1090,450.0,,,,,,,,,,Gashish Evro 10gr
15,15,05-07-2020 19:03:01,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0483,35250,13675,1211,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
16,16,05-07-2020 19:03:01,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4583,1778,157,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
17,17,05-07-2020 19:03:01,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0352,25732,9983,884,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
