,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,06-02-2020 09:09:02,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0166,11371,4482,388,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,06-02-2020 09:09:02,Tbilisi,c72111ac1a,"NZT-52 mind storm limited 0,3г мука",True,3,нет,Тбилиси,0.3 гр,0.0065,4422,1743,151,70.0,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,2,06-02-2020 09:09:02,Tbilisi,61df6a1c90,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0166,12003,4731,409,190.0,,,,,,,,,,Metadon 0.30gr
3,3,06-02-2020 09:09:02,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,7,нет,Тбилиси,0.33 гр,0.0059,3790,1494,129,60.0,,,,,,,,,,"A PVP 0,33 VHQ"
4,4,06-02-2020 09:09:02,Tbilisi,366326d4d6,0.5 g. Ketamine,True,5,нет,Тбилиси,0.5 гр,0.0061,3727,1469,127,59.0,,,,,,,,,,0.5 g. Ketamine
5,5,06-02-2020 09:09:02,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,8,нет,Тбилиси,0.5 гр,0.0113,6949,2739,237,110.0,,,,,,,,,,"Cocaine, 0.5 g"
6,6,06-02-2020 09:09:02,Tbilisi,be97026d1d,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,3,нет,Тбилиси,0.5 гр,0.0105,6633,2615,226,105.0,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,7,06-02-2020 09:09:02,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0062,3790,1494,129,60.0,,,,,,,,,,Ketamine 0.5g
8,8,06-02-2020 09:09:02,Tbilisi,be97026d1d,MDMA from Europe!!! 0.5g BTC SALE 5%,True,1,нет,Тбилиси,0.5 гр,0.0048,3032,1195,103,48.0,,,,,,,,,,MDMA from Europe!!! 0.5g BTC SALE 5%
9,9,06-02-2020 09:09:02,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0277,18952,7470,646,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,06-02-2020 09:09:02,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,17,нет,Тбилиси,0.8 гр,0.0122,7581,2988,258,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
11,11,06-02-2020 09:09:02,Tbilisi,7ee4f68218,1 g Ketamine / 1 гр Кетамин (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0069,4738,1868,162,75.0,,,,,,,,,,1 g Ketamine / 1 gr Ketamin (skidka v bitkoin)
12,12,06-02-2020 09:09:02,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,7,нет,Тбилиси,1 гр,0.0039,2464,971,84,39.0,True,,,,,,,,,1G -- AK-47 -> Sativa
13,13,06-02-2020 09:09:02,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0092,5928,2332,202,,,85.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
14,14,06-02-2020 09:09:02,Tbilisi,ae784bef73,Afghan HQ pressed buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0046,2843,1121,97,45.0,,,,,,,,,,Afghan HQ pressed buds ! NEW ! 1G
15,15,06-02-2020 09:09:02,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0122,7581,2988,258,120.0,,,,,,,,,,Apvp VHQ 1g 24/7
16,16,06-02-2020 09:09:02,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,8,нет,Тбилиси,1 гр,0.0226,13898,5478,474,220.0,,,,,,,,,,"Cocaine, 1g"
17,17,06-02-2020 09:09:02,Tbilisi,28bf667d16,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0111,6886,2714,235,109.0,,,,,,,,,,Crystal Mephedrone 1g
18,18,06-02-2020 09:09:02,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,4,нет,Тбилиси,1 гр,0.0066,4533,1783,155,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
19,19,06-02-2020 09:09:02,Tbilisi,8219f5e7b8,Ketamine 1g,True,16,нет,Тбилиси,1 гр,0.0103,6317,2490,215,100.0,,,,,,,,,,Ketamine 1g
20,20,06-02-2020 09:09:02,Tbilisi,366326d4d6,Ketamine 1g.,True,4,нет,Тбилиси,1 гр,0.0091,5623,2216,192,89.0,,,,,,,,,,Ketamine 1g.
21,21,06-02-2020 09:09:02,Tbilisi,be97026d1d,MDMA from Europe!!! 1.0g BTC SALE 5%,True,7,нет,Тбилиси,1 гр,0.0095,6002,2366,205,95.0,,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
22,22,06-02-2020 09:09:02,Tbilisi,ae784bef73,Maserati (ecstasy) 1шт,True,1,нет,Тбилиси,1 гр,0.0046,2843,1121,97,45.0,,,,,,,,,,Maserati (ecstasy) 1sht
23,23,06-02-2020 09:09:02,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0462,31587,12450,1077,500.0,,,,,,,,,,Metadon VHQ 1 24/7
24,24,06-02-2020 09:09:02,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,7,нет,Тбилиси,1 гр,0.0184,11308,4457,386,179.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
