,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,06-02-2020 12:09:07,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0167,11371,4473,388,180,,,,,,,,,,Metadon VHQ 0.25 24/7
1,06-02-2020 12:09:07,Tbilisi,72B,CHINATOWN,"NZT-52 mind storm limited 0,3г мука",True,3,нет,Тбилиси,0.3 гр,0.0065,4422,1740,151,70,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,06-02-2020 12:09:07,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0166,12003,4722,409,190,,,,,,,,,,Metadon 0.30gr
3,06-02-2020 12:09:07,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,7,нет,Тбилиси,0.33 гр,0.0059,3790,1491,129,60,,,,,,,,,,"A PVP 0,33 VHQ"
4,06-02-2020 12:09:07,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,5,нет,Тбилиси,0.5 гр,0.0061,3727,1466,127,59,,,,,,,,,,0.5 g. Ketamine
5,06-02-2020 12:09:07,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,7,нет,Тбилиси,0.5 гр,0.0113,6949,2734,237,110,,,,,,,,,,"Cocaine, 0.5 g"
6,06-02-2020 12:09:07,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,3,нет,Тбилиси,0.5 гр,0.0105,6633,2609,226,105,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,06-02-2020 12:09:07,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0062,3790,1491,129,60,,,,,,,,,,Ketamine 0.5g
8,06-02-2020 12:09:07,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0278,18952,7455,646,300,,,,,,,,,,Metadon VHQ 0.5 24/7
9,06-02-2020 12:09:07,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0101,6886,2709,235,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
