,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,06-02-2020 17:08:42,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0162,11304,4464,388,180,,,,,,,,,,Metadon VHQ 0.25 24/7
1,06-02-2020 17:08:42,Tbilisi,72B,CHINATOWN,"NZT-52 mind storm limited 0,3г мука",True,2,нет,Тбилиси,0.3 гр,0.0063,4396,1736,151,70,,,,,,,,,,"NZT-52 mind storm limited 0,3g muka"
2,06-02-2020 17:08:42,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0162,11932,4712,409,190,,,,,,,,,,Metadon 0.30gr
3,06-02-2020 17:08:42,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,5,нет,Тбилиси,0.33 гр,0.0057,3768,1488,129,60,,,,,,,,,,"A PVP 0,33 VHQ"
4,06-02-2020 17:08:42,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,5,нет,Тбилиси,0.5 гр,0.0059,3705,1463,127,59,,,,,,,,,,0.5 g. Ketamine
5,06-02-2020 17:08:42,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,7,нет,Тбилиси,0.5 гр,0.011,6908,2728,237,110,,,,,,,,,,"Cocaine, 0.5 g"
6,06-02-2020 17:08:42,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,3,нет,Тбилиси,0.5 гр,0.0102,6594,2604,226,105,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
7,06-02-2020 17:08:42,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,12,нет,Тбилиси,0.5 гр,0.006,3768,1488,129,60,,,,,,,,,,Ketamine 0.5g
8,06-02-2020 17:08:42,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.027,18839,7440,646,300,,,,,,,,,,Metadon VHQ 0.5 24/7
9,06-02-2020 17:08:42,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0098,6845,2703,235,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
10,06-02-2020 17:08:42,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,17,нет,Тбилиси,0.8 гр,0.0119,7536,2976,258,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
11,06-02-2020 17:08:42,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,21,нет,Тбилиси,1 гр,0.0041,2826,1116,97,45,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
12,06-02-2020 17:08:42,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,14,нет,Тбилиси,1 гр,0.0038,2449,967,84,39,True,,,,,,,,,1G -- AK-47 -> Sativa
13,06-02-2020 17:08:42,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,1 гр,0.0198,12434,4910,427,198,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
14,06-02-2020 17:08:42,Tbilisi,X4ZM,ZYX,Afghan HQ pressed buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0045,2826,1116,97,45,,,,,,,,,,Afghan HQ pressed buds ! NEW ! 1G
15,06-02-2020 17:08:42,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0119,7536,2976,258,120,,,,,,,,,,Apvp VHQ 1g 24/7
16,06-02-2020 17:08:42,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,5,нет,Тбилиси,1 гр,0.022,13816,5456,474,220,,,,,,,,,,"Cocaine, 1g"
17,06-02-2020 17:08:42,Tbilisi,Z5UFK,Vein,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0108,6845,2703,235,109,,,,,,,,,,Crystal Mephedrone 1g
18,06-02-2020 17:08:42,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,16,нет,Тбилиси,1 гр,0.01,6280,2480,215,100,,,,,,,,,,Ketamine 1g
19,06-02-2020 17:08:42,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,2,нет,Тбилиси,1 гр,0.0089,5589,2207,192,89,,,,,,,,,,Ketamine 1g.
20,06-02-2020 17:08:42,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.0g BTC SALE 5%,True,6,нет,Тбилиси,1 гр,0.0092,5966,2356,205,95,,,,,,,,,,MDMA from Europe!!! 1.0g BTC SALE 5%
21,06-02-2020 17:08:42,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.045,31399,12400,1077,500,,,,,,,,,,Metadon VHQ 1 24/7
22,06-02-2020 17:08:42,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,6,нет,Тбилиси,1 гр,0.0179,11241,4439,386,179,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
23,06-02-2020 17:08:42,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,8,нет,Тбилиси,1 гр,0.0126,8792,3472,302,140,,,,,,,,,,NZT-52 mind storm limited 1g muka
24,06-02-2020 17:08:42,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0179,12497,4935,429,199,,,,,,,,,,VHQ BEST Cocaine 1g.
25,06-02-2020 17:08:42,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0179,12497,4935,429,199,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
26,06-02-2020 17:08:42,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0185,11869,4687,407,189,,,,,,,,,,Kokain HQ 1g.
27,06-02-2020 17:08:42,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,4,нет,Тбилиси,1 гр,0.0197,12497,4935,429,199,,True,,,,,,,,Kokain KOLUMBIA 1g
28,06-02-2020 17:08:42,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0428,28259,11160,969,450,,,,,,,,,,Metadon 1gr
29,06-02-2020 17:08:42,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0446,28259,11160,969,450,,,,,,,,,,"Metadon, 1gr"
30,06-02-2020 17:08:42,Tbilisi,JPY,OaksShopp,мощный гибрид /hybrid weed 1g strong,,1,нет,Тбилиси,1 гр,0.0032,2198,868,75,35,True,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
31,06-02-2020 17:08:42,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,,5,нет,Тбилиси,2 гр,0.0071,4584,1810,157,73,True,,,,,,,,,2G -- AK-47 -> Sativa
32,06-02-2020 17:09:02,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.018,11304,4464,388,180,,,,,,,,,,Ketamine 2 g
33,06-02-2020 17:09:02,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,3,нет,Тбилиси,2 гр,0.007,4396,1736,151,70,,,,,,,,,,"LSD - 250 ug, 2 pieces"
34,06-02-2020 17:09:02,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0217,15071,5952,517,240,,,,,,,,,,NZT-52 mind storm limited 2g muka
35,06-02-2020 17:09:02,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0361,23800,9399,816,379,,,,,,,,,,Kokain HQ 2g.
36,06-02-2020 17:09:02,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0333,21037,8308,722,335,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
37,06-02-2020 17:09:02,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0099,6217,2455,213,99,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
38,06-02-2020 17:09:02,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 280mg,True,3,нет,Тбилиси,3 гр,0.0105,6594,2604,226,105,,,,,,,,,,3x Extasy Duracell 280mg
39,06-02-2020 17:09:02,Tbilisi,V4T,COCAcoLA,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0161,10362,4092,355,165,True,,,,,,,,,GASHISH 3 gr luchshaja tsena
40,06-02-2020 17:09:02,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g,,2,нет,Тбилиси,3 гр,0.0034,2135,843,73,34,,,True,,,,,,,Marijuana Super Skunk leaves 3g
41,06-02-2020 17:09:02,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0307,21351,8432,732,340,,,,,,,,,,NZT-52 mind storm limited 3g muka
42,06-02-2020 17:09:02,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0099,6217,2455,213,99,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
43,06-02-2020 17:09:02,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0064,4207,1662,144,67,True,,,,,,,,,metadon sirop 4ml
44,06-02-2020 17:09:02,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0768,53378,21080,1831,850,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
45,06-02-2020 17:09:02,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0289,20095,7936,689,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
46,06-02-2020 17:09:02,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0853,53378,21080,1831,850,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
47,06-02-2020 17:09:02,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 280mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0176,10990,4340,377,175,,,,,,,,,,5x Extasy Duracell 280mg MDMA.
48,06-02-2020 17:09:02,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.015,9420,3720,323,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
49,06-02-2020 17:09:02,Tbilisi,0V3X,arinaneb,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0158,10990,4340,377,175,True,,,,,,,,,gorilla glue 5 g
50,06-02-2020 17:09:02,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.02,13188,5208,452,210,,,,,,,,,,gashish evro 5g
51,06-02-2020 17:09:02,Tbilisi,9VLN,AlienShop,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0914,57209,22593,1962,911,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
52,06-02-2020 17:09:02,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0396,25056,9895,859,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
53,06-02-2020 17:09:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,6,нет,Тбилиси,10 гр,0.0265,16767,6622,575,267,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
54,06-02-2020 17:09:02,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0226,15699,6200,539,250,True,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
55,06-02-2020 17:09:02,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0381,25119,9920,862,400,,,,,,,,,,gashish evro 10g
56,06-02-2020 17:09:02,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,22,нет,Тбилиси,10 гр,0.009,6280,2480,215,100,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
57,06-02-2020 17:09:02,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -30 %,True,2,нет,Тбилиси,11 гр,0.1159,103626,40920,3565,,,,,1500,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
58,06-02-2020 17:09:02,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0447,28259,11160,969,450,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
