,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,06-03-2020 22:51:10,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,23,нет,Тбилиси,0.35 гр,0.0075,4726,1759,157,70.0,,,,,,,,,,,0.35gr ALFA PVP GREEN
1,1,06-03-2020 22:51:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0084,5874,2186,195,87.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,06-03-2020 22:51:10,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0106,6684,2488,221,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,3,06-03-2020 22:51:10,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,1 гр,0.0053,3376,1257,112,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,06-03-2020 22:51:10,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,20,нет,Тбилиси,1 гр,0.0041,2633,980,87,39.0,True,,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
5,5,06-03-2020 22:51:10,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0085,5401,2010,179,80.0,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,06-03-2020 22:51:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,10,нет,Тбилиси,1 гр,0.0174,12153,4523,402,180.0,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,06-03-2020 22:51:10,Tbilisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,2,нет,Тбилиси,1 гр,0.0197,12491,4649,414,185.0,,True,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
8,8,06-03-2020 22:51:10,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,23,нет,Тбилиси,1 гр,0.0135,9452,3518,313,140.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
9,9,06-03-2020 22:51:10,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0189,12491,4649,414,185.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
