,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,06-04-2020 13:11:32,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,1,нет,Тбилиси,0.2 гр,0.0044,2721,963,90,35.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,06-04-2020 13:11:32,Tbilisi,54915c4374,MDMA 0.4 грам.,,4,нет,Тбилиси,0.4 гр,0.0081,5053,1788,167,65.0,True,,,,,,,,,,MDMA 0.4 gram.
2,2,06-04-2020 13:11:32,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,5,нет,Тбилиси,0.5 гр,0.0131,7696,2723,255,99.0,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,06-04-2020 13:11:32,Tbilisi,99accec7c7,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,,1,нет,Тбилиси,0.5 гр,0.0413,23320,8250,772,300.0,,True,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
4,4,06-04-2020 13:11:32,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,7,нет,Тбилиси,0.5 гр,0.0103,5830,2063,193,75.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
5,5,06-04-2020 13:11:32,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,,7,нет,Тбилиси,0.5 гр,0.0076,4275,1513,141,55.0,True,,,,,,,,,,MEPHEDRONE 0.5 gr
6,6,06-04-2020 13:11:32,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0159,9328,3300,309,120.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
7,7,06-04-2020 13:11:32,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0152,8473,2998,280,109.0,True,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
8,8,06-04-2020 13:11:32,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",,1,нет,Тбилиси,0.6 гр,0.0113,6996,2475,232,90.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
9,9,06-04-2020 13:11:32,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0069,3887,1375,129,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,10,06-04-2020 13:11:32,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,16,нет,Тбилиси,1 гр,0.0054,3032,1073,100,39.0,,,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
11,11,06-04-2020 13:11:32,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -10% при оплате бтк!!!,,1,нет,Тбилиси,1 гр,0.0444,27595,9763,913,355.0,True,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -10% pri oplate btk!!!
12,12,06-04-2020 13:11:32,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0826,46640,16500,1543,600.0,,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
13,13,06-04-2020 13:11:32,Tbilisi,28bf667d16,LSD Hoffman 300UG 1piece,,1,нет,Тбилиси,1 гр,0.0077,4353,1540,144,56.0,True,,,,,,,,,,LSD Hoffman 300UG 1piece
14,14,06-04-2020 13:11:32,Tbilisi,54915c4374,MDMA 1 гр,,1,2,Тбилиси,1 гр,0.0138,8574,2977,278,,True,,,True,100.0,,,,,,MDMA 1 gr
15,15,06-04-2020 13:11:32,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,,2,нет,Тбилиси,1 гр,0.0151,8551,3025,283,110.0,True,,,,,,,,,,MDMA Champagne - DutchMasters 1g
16,16,06-04-2020 13:11:32,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,5,нет,Тбилиси,1 гр,0.0964,54413,19250,1801,700.0,,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
17,17,06-04-2020 13:11:32,Tbilisi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,3,нет,Тбилиси,1 гр,0.0139,7851,2778,260,101.0,,True,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
18,18,06-04-2020 13:11:32,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1126,69959,24750,2315,900.0,True,,,,,,,,,,Metadon 1gr
