,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
0,06-05-2020 09:19:44,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,2,нет,Тбилиси,0.3 гр,0.0102,3221,231,7000,,,,,,,,,,,,,,0.3 a-pvp white
1,06-05-2020 09:19:44,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,0.5 гр,0.0037,950,85,2545,True,35,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,06-05-2020 09:19:44,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,1493,134,4000,,55,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,06-05-2020 09:19:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,16,нет,Тбилиси,1 гр,0.0058,1493,134,4000,,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
4,06-05-2020 09:19:44,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0058,1493,134,4000,,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
5,06-05-2020 09:19:44,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,6,нет,Тбилиси,1 гр,0.0058,1493,134,4000,True,55,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,06-05-2020 09:19:44,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0049,1385,124,3709,,51,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,06-05-2020 09:19:44,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.006,1548,139,4145,True,57,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,06-05-2020 09:19:44,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0058,1493,134,4000,True,55,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
9,06-05-2020 09:19:44,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,17,нет,Тбилиси,1 гр,0.032,8118,730,21745,,299,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
