,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Авлобари,Дигоми,Varketili,Gldani,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
0,06-05-2020 14:16:10,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,11,нет,Тбилиси,1 гр,0.0058,4000,1488,134,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
1,06-05-2020 14:16:10,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0058,4000,1488,134,55,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
2,06-05-2020 14:16:10,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,4,нет,Тбилиси,1 гр,0.0058,4000,1488,134,55,True,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,06-05-2020 14:16:10,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0049,3709,1380,124,51,,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,06-05-2020 14:16:10,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.006,4145,1542,139,57,True,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,06-05-2020 14:16:10,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,2,нет,Тбилиси,1 гр,0.0058,4000,1488,134,55,True,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
6,06-05-2020 14:16:10,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,16,нет,Тбилиси,1 гр,0.0317,21745,8088,730,299,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,06-05-2020 14:16:10,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,3,нет,Тбилиси,1 гр,0.005,3491,1298,117,48,,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,06-05-2020 14:16:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0247,17091,6357,574,235,,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,06-05-2020 14:16:10,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,True,11,нет,Тбилиси,1 гр,0.0043,2982,1109,100,41,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
10,06-05-2020 14:16:10,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0859,65454,24345,2196,900,,,,,,,,,,,,,Metadon 1gr
11,06-05-2020 14:16:10,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0254,17382,6465,583,239,,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,06-05-2020 14:16:10,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,5,нет,Тбилиси,1.5 гр,0.0067,5091,1894,171,70,,True,True,True,True,,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
13,06-05-2020 14:16:10,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.0094,6473,2407,217,89,,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
14,06-05-2020 14:16:10,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0105,7273,2705,244,100,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,06-05-2020 14:16:10,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,2 гр,0.0095,7200,2678,242,99,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,06-05-2020 14:16:10,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0094,6473,2407,217,89,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
17,06-05-2020 14:16:10,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,3,нет,Тбилиси,2 гр,0.0104,7200,2678,242,99,,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
18,06-05-2020 14:16:10,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,2 гр,0.0074,5091,1894,171,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
