,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,06-06-2020 18:09:17,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0134,8922,3491,310,130,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
1,06-06-2020 18:09:17,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,,3,нет,Тбилиси,1 гр,0.004,2677,1047,93,39,True,,,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
2,06-06-2020 18:09:17,Tbilisi,JVZTQ,partyshop,1 г шишки марихуана индика тгк 21% VHQ,,1,нет,Тбилиси,1 гр,0.0041,2745,1074,95,40,,True,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
3,06-06-2020 18:09:17,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,6,нет,Тбилиси,1 гр,0.0307,20521,8028,712,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,06-06-2020 18:09:17,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0047,3157,1235,110,46,,,,,,,,,,,Amsterdam weed sativa 1gr
5,06-06-2020 18:09:17,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0246,16403,6417,569,239,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,06-06-2020 18:09:17,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨,,6,нет,Тбилиси,1.1 гр,0.006,4049,1584,140,59,True,,,,,,,,,,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨
7,06-06-2020 18:09:17,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,8,нет,Тбилиси,2 гр,0.0092,6108,2390,212,89,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,06-06-2020 18:09:17,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8167,3195,283,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
9,06-06-2020 18:09:17,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0108,7206,2819,250,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
