,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,06-06-2020 22:51:30,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.017,11695,4560,405,150,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,06-06-2020 22:51:30,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,,5,7,Тбилиси,0.25 гр,0.0041,2745,1074,95,,True,True,40,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
2,06-06-2020 22:51:30,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,7,нет,Тбилиси,0.5 гр,0.0033,2196,859,76,,,,32,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,06-06-2020 22:51:30,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,13,нет,Тбилиси,1 гр,0.0307,20521,8028,712,,,True,299,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,06-06-2020 22:51:30,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨,,1,нет,Тбилиси,1.1 гр,0.006,4049,1584,140,,,,59,True,,,,,,,,✨✨🍃🍃🍃✨✨1.1gr SUPER CRITICAL | BUDS ONLY | FOR PRO SMOKERS ! SALE BTC 10%✨✨🍃🍃🍃✨✨
5,06-06-2020 22:51:30,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,,7,нет,Тбилиси,2 гр,0.0091,6108,2390,212,,,True,89,,,,,,,,,2 ECSTASY << PACO RABANNE >>
6,06-06-2020 22:51:30,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,3,нет,Тбилиси,3 гр,0.0122,8167,3195,283,,,True,119,,,,,,,,,3 ECSTASY << PACO RABANNE >>
7,06-06-2020 22:51:30,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0108,7206,2819,250,,,True,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,06-06-2020 22:51:30,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,,2,нет,Тбилиси,4 гр,0.018,13383,5236,464,,,True,195,,,,,,,,,4g.marihuana shishki white widow
9,06-06-2020 22:51:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,1,нет,Тбилиси,4 гр,0.0109,7344,2873,255,,,True,107,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,06-06-2020 22:51:30,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,3,нет,Тбилиси,5 гр,0.0222,16472,6444,571,,,True,240,,,,,,,,,5g. marihuana shishki Critical
11,06-06-2020 22:51:30,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.018,12011,4699,417,,,True,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
12,06-06-2020 22:51:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1153,80299,31415,2786,,,True,1170,,,,,,,,,VHQ BEST Cocaine 5g.
13,06-06-2020 22:51:30,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0151,10226,4001,355,,,,149,True,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
14,06-06-2020 22:51:30,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0263,17776,6954,617,,,True,259,,,,,,,,,10 gr georgian weed. Package on magnet
15,06-06-2020 22:51:30,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,10 гр,0.0243,16403,6417,569,,,,239,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
16,06-06-2020 22:51:30,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,,4,нет,Тбилиси,10 гр,0.0102,6863,2685,238,,,,100,,,True,,,,,,10 gr marihuana list'ja top gibrid
17,06-06-2020 22:51:30,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,,6,нет,Тбилиси,10 гр,0.0014,961,376,33,,,True,14,,,,,,,,,GABAGAMA 10 shtuk
18,06-06-2020 22:51:30,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",,3,нет,Тбилиси,10 гр,0.0088,6520,2551,226,,,True,95,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
19,06-06-2020 22:51:30,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0462,34316,13425,1191,,,True,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,06-06-2020 22:51:30,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2052,137264,53700,4762,,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,06-06-2020 22:51:30,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0216,14413,5639,500,,,True,210,,,,,,,,,✨✨2gram. MDMA✨✨
22,06-06-2020 22:51:30,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0379,25325,9908,879,,,True,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,06-06-2020 22:51:30,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0595,39738,15546,1379,,,True,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,06-06-2020 22:51:30,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0407,27453,10740,952,,,True,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,06-06-2020 22:51:30,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0712,48042,18795,1667,,,True,700,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,06-06-2020 22:51:30,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0559,37748,14768,1310,,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,06-06-2020 22:51:30,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,8,Тбилиси,5 гр,0.0239,16129,6310,560,,,True,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
