,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,06-08-2020 15:28:50,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,06-08-2020 15:28:50,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,06-08-2020 15:28:50,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,5,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31,,,,,,,,,,,,0.5 Gram Skunk HQ
3,06-08-2020 15:28:50,Tbilisi,9Y6T,WeedShop,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,3,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
4,06-08-2020 15:28:50,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0028,2410,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
5,06-08-2020 15:28:50,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,9,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
6,06-08-2020 15:28:50,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,8,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,06-08-2020 15:28:50,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,06-08-2020 15:28:50,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,19,нет,Тбилиси,0.5 гр,0.0021,1826,697,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,06-08-2020 15:28:50,Tbilisi,8B31,GEOWEEDSHOP,0.5gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,0.5 гр,0.0029,2483,947,83,34,,,,,,,,,,,,0.5gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
10,06-08-2020 15:28:50,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,5,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
11,06-08-2020 15:28:50,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0028,2483,947,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,06-08-2020 15:28:50,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0025,2191,836,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,06-08-2020 15:28:50,Tbilisi,43MUT,Canartvelo,Бошки LSD 0.5 г,True,1,нет,Тбилиси,0.5 гр,0.0021,1826,697,61,25,,,,,,,,,,,,Boshki LSD 0.5 g
14,06-08-2020 15:28:50,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.005,4382,1672,146,60,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
15,06-08-2020 15:28:50,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
16,06-08-2020 15:28:50,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.005,4382,1672,146,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
17,06-08-2020 15:28:50,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,1 гр,0.005,4382,1672,146,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
18,06-08-2020 15:28:50,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
19,06-08-2020 15:28:50,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
20,06-08-2020 15:28:50,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
