,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,07-03-2020 17:32:40,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0222,15529,5780,515,230,,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,07-03-2020 17:32:40,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G,True,1,5,Тбилиси,0.27 гр,0.0289,18230,6785,605,270,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G
2,07-03-2020 17:32:40,Tbilisi,I8ED,KKGRUZ,0.35gr ALFA PVP GREEN,True,6,нет,Тбилиси,0.35 гр,0.0075,4726,1759,157,70,,,,,,,,,,,,0.35gr ALFA PVP GREEN
3,07-03-2020 17:32:40,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,11,нет,Тбилиси,1 гр,0.0041,2633,980,87,39,True,,,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,07-03-2020 17:32:40,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,4,нет,Тбилиси,1 гр,0.0138,8777,3267,291,130,,,,,,,,,,,,ALFA PVP 1g
5,07-03-2020 17:32:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0174,12153,4523,403,180,,,,,,,,,,,,Cocaine Pure VHQ 1g
6,07-03-2020 17:32:40,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,1,нет,Тбилиси,1 гр,0.0196,12491,4649,414,185,,True,,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
7,07-03-2020 17:32:40,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,20,нет,Тбилиси,1 гр,0.0135,9452,3518,314,140,,,,,,,,,,,,NZT-52 mind storm limited 1g muka
8,07-03-2020 17:32:40,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0188,12491,4649,414,185,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
9,07-03-2020 17:32:40,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.019,12086,4498,401,179,,,True,,,,,,,,,Kokain KOLUMBIA 1g
