,time_stamp,region,sell_code,sell_name,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,07-04-2020 12:43:20,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,1,нет,Тбилиси,0.2 гр,0.0042,2674,954,90,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,07-04-2020 12:43:20,Tbilisi,A3I9,Joookerrr,MDMA 0.4 грам.,,3,нет,Тбилиси,0.4 гр,0.0079,4966,1771,167,65,True,,,,,,,,,MDMA 0.4 gram.
2,07-04-2020 12:43:20,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,,7,нет,Тбилиси,0.5 гр,0.01,5731,2044,193,75,True,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
3,07-04-2020 12:43:20,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,3,нет,Тбилиси,0.5 гр,0.0073,4202,1499,141,55,True,,,,,,,,,MEPHEDRONE 0.5 gr
4,07-04-2020 12:43:20,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0147,8328,2970,280,109,True,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,07-04-2020 12:43:20,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",,1,нет,Тбилиси,0.6 гр,0.0109,6877,2453,231,90,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
6,07-04-2020 12:43:20,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0059,3362,1199,113,44,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,07-04-2020 12:43:20,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,9,нет,Тбилиси,1 гр,0.0073,4584,1635,154,60,True,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,07-04-2020 12:43:20,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0067,3820,1363,129,50,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,07-04-2020 12:43:20,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,8,нет,Тбилиси,1 гр,0.0052,2980,1063,100,39,True,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
10,07-04-2020 12:43:20,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.0242,14441,5150,486,189,True,,,,,,,,,Cocaine Pure VHQ 1g
11,07-04-2020 12:43:20,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0799,45844,16350,1542,600,,,True,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
12,07-04-2020 12:43:20,Tbilisi,Z5UFK,Vein,MDMA Champagne - DutchMasters 1g,,1,нет,Тбилиси,1 гр,0.0146,8405,2998,283,110,True,,,,,,,,,MDMA Champagne - DutchMasters 1g
13,07-04-2020 12:43:20,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,4,нет,Тбилиси,1 гр,0.0932,53485,19075,1800,700,,,True,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
14,07-04-2020 12:43:20,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0866,49665,17713,1671,650,True,,,,,,,,,Metadon VHQ 1 24/7
15,07-04-2020 12:43:20,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.109,68767,24525,2314,900,True,,,,,,,,,Metadon 1gr
16,07-04-2020 12:43:20,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,9,нет,Тбилиси,1 гр,0.0024,1528,545,51,20,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
17,07-04-2020 12:43:20,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.01,5731,2044,193,75,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,07-04-2020 12:43:20,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0092,5272,1880,177,69,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,07-04-2020 12:43:20,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,2 гр,0.0092,5272,1880,177,69,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,07-04-2020 12:43:20,Tbilisi,8B31,GEOWEEDSHOP,2gr Indica dominant Buds,,2,нет,Тбилиси,2 гр,0.0063,3591,1281,121,47,True,,,,,,,,,2gr Indica dominant Buds
21,07-04-2020 12:43:20,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0094,5349,1908,180,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
