,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
0,0,07-05-2020 03:34:23,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0036,2589,947,86,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,07-05-2020 03:34:23,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0057,4068,1488,135,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,07-05-2020 03:34:23,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0028,1997,730,66,27.0,,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,07-05-2020 03:34:23,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0144,10356,3787,343,140.0,,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
4,4,07-05-2020 03:34:23,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,8,нет,Тбилиси,1 гр,0.0057,4068,1488,135,55.0,,True,,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,07-05-2020 03:34:23,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,1,нет,Тбилиси,1 гр,0.0057,4068,1488,135,55.0,,True,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,07-05-2020 03:34:23,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0057,4068,1488,135,55.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,07-05-2020 03:34:23,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0048,3773,1380,125,51.0,True,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,8,07-05-2020 03:34:23,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.0059,4216,1542,140,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,07-05-2020 03:34:23,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0057,4068,1488,135,55.0,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
10,10,07-05-2020 03:34:23,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,14,нет,Тбилиси,1 гр,0.0314,22118,8088,733,299.0,,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,07-05-2020 03:34:23,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0245,17383,6357,576,235.0,,True,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,07-05-2020 03:34:23,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,6,нет,Тбилиси,1 гр,0.0057,4068,1488,135,55.0,,,True,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
13,13,07-05-2020 03:34:23,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,,4,нет,Тбилиси,1 гр,0.0043,3033,1109,101,41.0,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
14,14,07-05-2020 03:34:23,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0852,66575,24345,2207,900.0,,True,,,,,,,,,,Metadon 1gr
15,15,07-05-2020 03:34:23,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0251,17679,6465,586,239.0,,,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
16,16,07-05-2020 03:34:23,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0115,8063,2948,267,109.0,,,,True,,,,,,,,✨ 1g. MDMA ✨
17,17,07-05-2020 03:34:23,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,2,нет,Тбилиси,1.5 гр,0.0066,5178,1894,172,70.0,,,,,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
18,18,07-05-2020 03:34:23,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,2,нет,Тбилиси,2 гр,0.0094,6584,2407,218,89.0,,True,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
19,19,07-05-2020 03:34:23,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,10,нет,Тбилиси,2 гр,0.0104,7397,2705,245,100.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
20,20,07-05-2020 03:34:23,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0094,7323,2678,243,99.0,,True,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,07-05-2020 03:34:23,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0094,6584,2407,218,89.0,,True,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,22,07-05-2020 03:34:23,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0103,7323,2678,243,99.0,,True,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,23,07-05-2020 03:34:23,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0074,5178,1894,172,70.0,,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
