,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Varketili,Nadzaladevi,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,07-06-2020 21:37:56,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0166,10912,4269,379,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,07-06-2020 21:37:56,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0312,20521,8028,712,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,2,07-06-2020 21:37:56,Tbilisi,7c395c455d,2 g indica шишки марихуана топ,,1,нет,Тбилиси,2 гр,0.0072,4804,1880,167,70.0,True,,,,,,,,,,2 g indica shishki marihuana top
3,3,07-06-2020 21:37:56,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,6,нет,Тбилиси,2 гр,0.0091,6040,2363,210,88.0,,,,,,,,,,,2gr HYBRID buds
4,4,07-06-2020 21:37:56,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,3 гр,0.009000000000000001,5971,2336,207,87.0,,,,,,,,,,,3 gr georgian weed. Package on magnet
5,5,07-06-2020 21:37:56,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,5 гр,0.0144,9540,3732,331,139.0,,,,,,,,,,,5 gr georgian weed. Package on magnet
6,6,07-06-2020 21:37:56,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0226,16472,6444,571,240.0,,,,,,,,,,,5g. marihuana shishki Critical
7,7,07-06-2020 21:37:56,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0133,8854,3464,307,129.0,,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
8,8,07-06-2020 21:37:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0183,12011,4699,417,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
9,9,07-06-2020 21:37:56,Tbilisi,83f3d55917,Химка !! 5 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,5 гр,0.006,4118,1611,143,60.0,,,True,,,,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
10,10,07-06-2020 21:37:56,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,10 гр,0.0268,17776,6954,617,259.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
11,11,07-06-2020 21:37:56,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0247,16403,6417,569,239.0,,True,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
12,12,07-06-2020 21:37:56,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,2,нет,Тбилиси,10 гр,0.0103,6863,2685,238,100.0,,,,True,,,,,,,10 gr marihuana list'ja top gibrid
13,13,07-06-2020 21:37:56,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,1,нет,Тбилиси,10 гр,0.0014,961,376,33,14.0,,,,,,,,,,,GABAGAMA 10 shtuk
14,14,07-06-2020 21:37:56,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.047,34316,13425,1191,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,07-06-2020 21:37:56,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2088,137264,53700,4762,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,07-06-2020 21:37:56,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0219,14413,5639,500,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
17,17,07-06-2020 21:37:56,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0605,39738,15546,1379,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
18,18,07-06-2020 21:37:56,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0414,27453,10740,952,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
19,19,07-06-2020 21:37:56,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0724,48042,18795,1667,700.0,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
20,20,07-06-2020 21:37:56,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0569,37748,14768,1310,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,07-06-2020 21:37:56,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0243,16129,6310,560,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
22,22,07-06-2020 21:37:56,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0248,16472,6444,571,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
23,23,07-06-2020 21:37:56,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0238,15785,6176,548,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
24,24,07-06-2020 21:37:56,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0248,16472,6444,571,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
25,25,07-06-2020 21:37:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0248,16472,6444,571,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
26,26,07-06-2020 21:37:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0238,15785,6176,548,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
27,27,07-06-2020 21:37:56,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,15030,5880,521,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
28,28,07-06-2020 21:37:56,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0261,17158,6713,595,250.0,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
29,29,07-06-2020 21:37:56,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,16129,6310,560,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,07-06-2020 21:37:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2604,190000,87429,6592,,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,07-06-2020 21:37:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2822,205896,80550,7143,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,07-06-2020 21:37:56,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1002,65818,25749,2283,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,07-06-2020 21:37:56,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0199,13040,5102,452,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,07-06-2020 21:38:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0931,61769,24165,2143,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
