,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Didube,Gldani,Дигоми,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,0,07-07-2020 02:27:59,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0108,7250,2772,247,90.0,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
1,1,07-07-2020 02:27:59,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,5,нет,Тбилиси,0.5 гр,0.0035,2354,898,80,,33.0,,,,,,,,,,,0.5 gr HYBRID buds
2,2,07-07-2020 02:27:59,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,True,1,нет,Тбилиси,0.5 гр,0.0033,2212,843,75,,31.0,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
3,3,07-07-2020 02:27:59,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0034,2283,870,78,,32.0,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,4,07-07-2020 02:27:59,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0058,3924,1496,134,,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
5,5,07-07-2020 02:27:59,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0064,4280,1632,146,,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,07-07-2020 02:27:59,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0064,4280,1632,146,,60.0,,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
7,7,07-07-2020 02:27:59,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,1,нет,Тбилиси,1 гр,0.0052,3496,1333,119,,49.0,,,,,,,,,,,1gr HYBRID o.g
8,8,07-07-2020 02:27:59,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,2,нет,Тбилиси,1 гр,0.0064,4280,1632,146,,60.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,07-07-2020 02:27:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0316,21331,8133,728,,299.0,,,,,,,,,,,Cocaine Pure VHQ 1g
10,10,07-07-2020 02:27:59,Tbilisi,ebadfc162f,The Best Weed In Your Life 1G 100%шишки! LIMITED,,5,нет,Тбилиси,1 гр,0.0069,4637,1768,158,,65.0,True,,True,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
11,11,07-07-2020 02:27:59,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds,True,1,нет,Тбилиси,1 гр,0.0043,3210,1224,110,,45.0,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds
12,12,07-07-2020 02:27:59,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0127,8561,3264,292,,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
13,13,07-07-2020 02:27:59,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0127,8561,3264,292,,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,07-07-2020 02:27:59,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0106,7134,2720,243,,100.0,,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
15,15,07-07-2020 02:27:59,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0106,7134,2720,243,,100.0,,True,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
16,16,07-07-2020 02:27:59,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0127,8561,3264,292,,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
17,17,07-07-2020 02:27:59,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0106,7848,2992,268,,110.0,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
18,18,07-07-2020 02:27:59,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,14,нет,Тбилиси,3 гр,0.0059,3924,1496,134,,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,19,07-07-2020 02:27:59,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,27,нет,Тбилиси,5 гр,0.0074,4923,1877,168,,69.0,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,20,07-07-2020 02:27:59,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.0231,17122,6528,584,,240.0,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
21,21,07-07-2020 02:27:59,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,4,нет,Тбилиси,5 гр,0.1428,96239,36693,3282,,1349.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
22,22,07-07-2020 02:27:59,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0265,17835,6800,608,,250.0,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
23,23,07-07-2020 02:27:59,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,10 гр,0.0253,17050,6501,582,,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
24,24,07-07-2020 02:27:59,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,6,нет,Тбилиси,10 гр,0.0138,9203,3509,314,,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,07-07-2020 02:27:59,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0462,32103,12240,1095,,450.0,,,,,,,,,,,Gashish Evro 10gr
26,26,07-07-2020 02:27:59,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,3,нет,Тбилиси,11 гр,0.0173,12841,4896,438,,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
27,27,07-07-2020 02:27:59,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0481,35670,13600,1217,,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,28,07-07-2020 02:27:59,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4637,1768,158,,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
29,29,07-07-2020 02:27:59,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0351,26039,9928,888,,365.0,,,,,,,,,,,25 GGAMM NEW BEASTWEED
30,30,07-07-2020 02:27:59,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2136,142682,54400,4866,,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,07-07-2020 02:27:59,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0533,35599,13573,1214,,499.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
32,32,07-07-2020 02:27:59,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,5,Тбилиси,4 гр,0.0423,28536,10880,973,,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,07-07-2020 02:27:59,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0265,17835,6800,608,,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
34,34,07-07-2020 02:28:57,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0265,17835,6800,608,,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,35,07-07-2020 02:28:57,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,39238,14960,1338,,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,07-07-2020 02:28:57,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0286,19262,7344,657,,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,07-07-2020 02:28:57,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0296,19975,7616,681,,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,38,07-07-2020 02:28:57,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0291,19619,7480,669,,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,07-07-2020 02:28:57,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17122,6528,584,,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
