,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
0,07-07-2020 07:18:17,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.0116,7975,3049,272,99,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,07-07-2020 07:18:17,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0108,7250,2772,247,90,True,,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,07-07-2020 07:18:17,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,4,нет,Тбилиси,0.5 гр,0.0035,2354,898,80,,True,33,,,,,,,,,,0.5 gr HYBRID buds
3,07-07-2020 07:18:17,Tbilisi,9Y6T,WeedShop,0.5г Ayahuasca Purple 100% Indica,,2,нет,Тбилиси,0.5 гр,0.0033,2212,843,75,,True,31,True,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
4,07-07-2020 07:18:17,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,4,нет,Тбилиси,0.5 гр,0.0034,2283,870,78,,True,32,,True,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,07-07-2020 07:18:17,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,1 гр,0.0439,29807,11396,1017,370,,,,,,,,,,,,!!! Iranian Sirec 1g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
6,07-07-2020 07:18:17,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0064,4280,1632,146,,True,60,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,07-07-2020 07:18:17,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,1,нет,Тбилиси,1 гр,0.0053,3567,1360,122,,True,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,07-07-2020 07:18:17,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0064,4280,1632,146,,,60,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,07-07-2020 07:18:17,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,1,нет,Тбилиси,1 гр,0.0052,3496,1333,119,,True,49,,,,,,,,,,1gr HYBRID o.g
