,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Varketili,Центр,Батуми,desc_en
0,07-08-2020 05:36:25,Tbilisi,OX85,amnesia420,"0,5G ☠️DURBAN POISON (100% sativa)",True,3,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
1,07-08-2020 05:36:25,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,07-08-2020 05:36:25,Tbilisi,9Y6T,WeedShop,0.5 Gram Skunk HQ,True,3,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31,,,,,,,,,,,,0.5 Gram Skunk HQ
3,07-08-2020 05:36:25,Tbilisi,9Y6T,WeedShop,0.5 Gramm Ak-47 Best Seller,True,2,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller
4,07-08-2020 05:36:25,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0028,2410,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
5,07-08-2020 05:36:25,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,8,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
6,07-08-2020 05:36:25,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,7,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,07-08-2020 05:36:25,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,07-08-2020 05:36:25,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,14,нет,Тбилиси,0.5 гр,0.0021,1826,697,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,07-08-2020 05:36:25,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,3,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
