,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Центр,Батуми,desc_en
0,0,07-08-2020 10:21:13,Tbilisi,52fe6d0af9,VHQ Methadon 0.12G Crystals imported,True,1,нет,Тбилиси,0.12 гр,0.0098,8619,3287,288,118.0,,,,,,,,,,,,VHQ Methadon 0.12G Crystals imported
1,1,07-08-2020 10:21:13,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,2,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
2,2,07-08-2020 10:21:13,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,3,07-08-2020 10:21:13,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,3,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31.0,,,,,,,,,,,,0.5 Gram Skunk HQ
4,4,07-08-2020 10:21:13,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller,True,2,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32.0,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller
5,5,07-08-2020 10:21:13,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0028,2410,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
6,6,07-08-2020 10:21:13,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,8,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32.0,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
7,7,07-08-2020 10:21:13,Tbilisi,21de5577be,0.5 gr. Magic Kush IMPORT (INDICA),,7,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32.0,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
8,8,07-08-2020 10:21:13,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31.0,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
9,9,07-08-2020 10:21:13,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,14,нет,Тбилиси,0.5 гр,0.0021,1826,697,61,25.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
10,10,07-08-2020 10:21:13,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,3,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
11,11,07-08-2020 10:21:13,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0025,2191,836,73,30.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,12,07-08-2020 10:21:13,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0025,2191,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,13,07-08-2020 10:21:13,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
14,14,07-08-2020 10:21:13,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
15,15,07-08-2020 10:21:13,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,07-08-2020 10:21:13,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
17,17,07-08-2020 10:21:13,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,18,07-08-2020 10:21:13,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,19,07-08-2020 10:21:13,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
20,20,07-08-2020 10:21:13,Tbilisi,21de5577be,1.0 gr. Afghan kush 100% Natural (Indika),,1,нет,Тбилиси,1 гр,0.0044,3871,1477,129,53.0,True,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
21,21,07-08-2020 10:21:13,Tbilisi,21de5577be,1.0 gr. Magic Kush IMPORT (INDICA),,4,нет,Тбилиси,1 гр,0.0044,3871,1477,129,53.0,True,,,,,,,,,,,1.0 gr. Magic Kush IMPORT (INDICA)
22,22,07-08-2020 10:21:13,Tbilisi,8ddca45a78,1G 🍇 GRAPE APE,True,4,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55.0,,,,,,,,,,,,1G 🍇 GRAPE APE
23,23,07-08-2020 10:21:13,Tbilisi,8ddca45a78,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,5,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55.0,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
24,24,07-08-2020 10:21:13,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
25,25,07-08-2020 10:21:13,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,23,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49.0,,,,,,,,,,,,1gr HYBRID o.g
26,26,07-08-2020 10:21:13,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0048,4163,1588,139,57.0,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
27,27,07-08-2020 10:21:13,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
28,28,07-08-2020 10:21:13,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,14,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,29,07-08-2020 10:21:13,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,9,нет,Тбилиси,1 гр,0.0048,4163,1588,139,57.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
30,30,07-08-2020 10:21:13,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",True,4,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55.0,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
31,31,07-08-2020 10:21:13,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.0031,2995,1142,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
32,32,07-08-2020 10:21:13,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0045,3944,1504,132,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
33,33,07-08-2020 10:21:13,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0048,4236,1616,141,58.0,,,,True,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
34,34,07-08-2020 10:21:13,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
35,35,07-08-2020 10:21:13,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,6,нет,Тбилиси,1 гр,0.0035,3214,1226,107,44.0,,,,,,,,,,,,TYson Budds 1G Skidka 5%
36,36,07-08-2020 10:22:37,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3652,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
37,37,07-08-2020 10:22:37,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55.0,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
38,38,07-08-2020 10:22:37,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,1,нет,Тбилиси,1 гр,0.003,2629,1003,88,36.0,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
39,39,07-08-2020 10:22:37,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
40,40,07-08-2020 10:22:37,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0091,7961,3037,266,109.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
41,41,07-08-2020 10:22:37,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.01,8765,3343,293,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
42,42,07-08-2020 10:22:37,Tbilisi,21de5577be,2.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,True,,,,,,,,,,,2.0 gr. Magic Kush IMPORT (INDICA)
43,43,07-08-2020 10:22:37,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0073,6428,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
44,44,07-08-2020 10:22:37,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,True,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
45,45,07-08-2020 10:22:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0083,8034,3065,268,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
46,46,07-08-2020 10:22:37,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
47,47,07-08-2020 10:22:37,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
48,48,07-08-2020 10:22:37,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0061,5843,2229,195,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
