,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,08-02-2020 18:16:10,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0117,8251,3211,283,130,,,,,,,,,,Metadon 0.15gr
1,08-02-2020 18:16:10,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,4,нет,Тбилиси,0.25 гр,0.0163,11425,4446,392,180,,,,,,,,,,Metadon VHQ 0.25 24/7
2,08-02-2020 18:16:10,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,8,нет,Тбилиси,0.29 гр,0.0209,13329,5187,457,210,True,,,,,,,,,"methadone 0,29 gr"
3,08-02-2020 18:16:10,Tbilisi,TI21,Campaari,"A PVP 0,33 VHQ",True,8,нет,Тбилиси,0.33 гр,0.0057,3808,1482,131,60,,,,,,,,,,"A PVP 0,33 VHQ"
4,08-02-2020 18:16:10,Tbilisi,7JZOY,BezNika,0.5 GRAM LEMON Cheese VHQ,,8,нет,Тбилиси,0.5 гр,0.0028,1777,692,61,28,,True,,,,,,,,0.5 GRAM LEMON Cheese VHQ
5,08-02-2020 18:16:10,Tbilisi,7R3WM,RastaShop,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,11,нет,Тбилиси,0.5 гр,0.0031,1968,766,67,31,,,True,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
6,08-02-2020 18:16:10,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0079,5078,1976,174,80,,,,,,,,,,ALFA PVP in City 0.5g
7,08-02-2020 18:16:10,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 0.5 BTC SALE 5%,True,1,нет,Тбилиси,0.5 гр,0.0102,6665,2594,229,105,,,,,,,,,,Columbia Cocaine VHQ 0.5 BTC SALE 5%
8,08-02-2020 18:16:10,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,2,нет,Тбилиси,0.5 гр,0.0049,3110,1210,107,49,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
9,08-02-2020 18:16:10,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,10,нет,Тбилиси,0.5 гр,0.006,3808,1482,131,60,,,,,,,,,,Ketamine 0.5g
10,08-02-2020 18:16:10,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0271,19042,7410,653,300,,,,,,,,,,Metadon VHQ 0.5 24/7
11,08-02-2020 18:16:10,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,7,нет,Тбилиси,0.5 гр,0.0098,6918,2692,237,109,,,,,,,,,,Pure COCAINE VHQ 0.5g
12,08-02-2020 18:16:10,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.028,19676,7657,675,310,,,,,,,,,,Metadon 0.6gr
13,08-02-2020 18:16:10,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,9,нет,Тбилиси,0.8 гр,0.0119,7617,2964,261,120,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,08-02-2020 18:16:10,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,24,нет,Тбилиси,1 гр,0.0041,2856,1112,98,45,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,08-02-2020 18:16:10,Tbilisi,7R3WM,RastaShop,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,6,нет,Тбилиси,1 гр,0.0047,2983,1161,102,47,,,True,,,,,,,1 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
16,08-02-2020 18:16:10,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,15,нет,Тбилиси,1 гр,0.0119,7617,2964,261,120,,,,,,,,,,Apvp VHQ 1g 24/7
17,08-02-2020 18:16:10,Tbilisi,RGIUB,SaintJoint,Blue Dream premium quality THC over 20% 1 gr,True,4,нет,Тбилиси,1 гр,0.003,2095,815,72,33,,,,,,,,,,Blue Dream premium quality THC over 20% 1 gr
18,08-02-2020 18:16:10,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,12,нет,Тбилиси,1 гр,0.01,6347,2470,218,100,,,,,,,,,,Ketamine 1g
19,08-02-2020 18:16:10,Tbilisi,LYHBG,Playboy,Ketamine 1g.,True,9,нет,Тбилиси,1 гр,0.0089,5649,2198,194,89,,,,,,,,,,Ketamine 1g.
20,08-02-2020 18:16:10,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0451,31736,12350,1088,500,,,,,,,,,,Metadon VHQ 1 24/7
21,08-02-2020 18:16:10,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,6,нет,Тбилиси,1 гр,0.0126,8886,3458,305,140,,,,,,,,,,NZT-52 mind storm limited 1g muka
22,08-02-2020 18:16:10,Tbilisi,RGIUB,SaintJoint,"Royal Gorilla and Girl scout coockies pressed mix, THC over 25% 1gr",True,1,нет,Тбилиси,1 гр,0.0041,2856,1112,98,45,,,,,,,,,,"Royal Gorilla and Girl scout coockies pressed mix, THC over 25% 1gr"
23,08-02-2020 18:16:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.018,12631,4915,433,199,,,,,,,,,,VHQ BEST Cocaine 1g.
24,08-02-2020 18:16:10,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0143,9521,3705,326,150,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
25,08-02-2020 18:16:10,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0186,11996,4668,411,189,,,,,,,,,,Kokain HQ 1g.
